gpu_name,application_name,Input Size,num_of_cores,max_clock_rate,l1_cache_used,threads_number,l1_global_load_hit,l1_global_load_miss,Global Load Transactions,Global Store Transactions,L1 Global Hit Rate,L2 Hit Rate (L1 Reads),Shared Load Transactions,Shared Store Transactions,Duration
Tesla-K40,matMul_gpu,256,2880,745,0,65536,0,0,1572864,4096,0,99.961281,0,0,0.000402175
Tesla-K40,matMul_gpu,512,2880,745,0,262144,0,0,12582912,16384,0,99.601388,0,0,0.003078068
Tesla-K40,matMul_gpu,768,2880,745,0,589824,0,0,42467328,36864,0,96.084037,0,0,0.010136
Tesla-K40,matMul_gpu,1024,2880,745,0,1048576,0,0,100663296,65536,0,94.683774,0,0,0.023808
Tesla-K40,matMul_gpu,1280,2880,745,0,1638400,0,0,196608000,102400,0,93.864038,0,0,0.046449
Tesla-K40,matMul_gpu,1536,2880,745,0,2359296,0,0,339738624,147456,0,93.722834,0,0,0.080139
Tesla-K40,matMul_gpu,1792,2880,745,0,3211264,0,0,539492352,200704,0,93.682275,0,0,0.127177
Tesla-K40,matMul_gpu,2048,2880,745,0,4194304,0,0,805306368,262144,0,93.683612,0,0,0.189733
Tesla-K40,matMul_gpu,2304,2880,745,0,5308416,0,0,1146617856,331776,0,93.670966,0,0,0.270004
Tesla-K40,matMul_gpu,2560,2880,745,0,6553600,0,0,1572864000,409600,0,93.66762,0,0,0.370213
Tesla-K40,matMul_gpu,2816,2880,745,0,7929856,0,0,2093481984,495616,0,93.666624,0,0,0.492864
Tesla-K40,matMul_gpu,3072,2880,745,0,9437184,0,0,2717908992,589824,0,93.604921,0,0,0.640213
Tesla-K40,matMul_gpu,3328,2880,745,0,11075584,0,0,3455582208,692224,0,93.614249,0,0,0.813555
Tesla-K40,matMul_gpu,3584,2880,745,0,12845056,0,0,4315938816,802816,0,93.496856,0,0,1.016249
Tesla-K40,matMul_gpu,3840,2880,745,0,14745600,0,0,5308416000,921600,0,93.557676,0,0,1.249624
Tesla-K40,matMul_gpu,4096,2880,745,0,16777216,0,0,6442450944,1048576,0,93.543814,0,0,1.512496
Tesla-K40,matMul_gpu,4352,2880,745,0,18939904,0,0,7727480832,1183744,0,93.471243,0,0,1.819399
Tesla-K40,matMul_gpu,4608,2880,745,0,21233664,0,0,9172942848,1327104,0,93.432429,0,0,2.159571
Tesla-K40,matMul_gpu,4864,2880,745,0,23658496,0,0,10788274176,1478656,0,93.374963,0,0,2.54006
Tesla-K40,matMul_gpu,5120,2880,745,0,26214400,0,0,12582912000,1638400,0,93.328069,0,0,2.962223
Tesla-K40,matMul_gpu,5376,2880,745,0,28901376,0,0,14566293504,1806336,0,93.247126,0,0,3.429939
Tesla-K40,matMul_gpu,5632,2880,745,0,31719424,0,0,16747855872,1982464,0,93.19731,0,0,3.943112
Tesla-K40,matMul_gpu,5888,2880,745,0,34668544,0,0,19137036288,2166784,0,93.188469,0,0,4.506515
Tesla-K40,matMul_gpu,6144,2880,745,0,37748736,0,0,21743271936,2359296,0,93.104009,0,0,5.120103
Tesla-K40,matMul_gpu,6400,2880,745,0,40960000,0,0,24576000000,2560000,0,93.117117,0,0,5.676238
Tesla-K40,matMul_gpu,6656,2880,745,0,44302336,0,0,27644657664,2768896,0,92.937611,0,0,6.365564
Tesla-K40,matMul_gpu,6912,2880,745,0,47775744,0,0,30958682112,2985984,0,93.077209,0,0,7.130303
Tesla-K40,matMul_gpu,7168,2880,745,0,51380224,0,0,34527510528,3211264,0,92.807709,0,0,7.952141
Tesla-K40,matMul_gpu,7424,2880,745,0,55115776,0,0,38360580096,3444736,0,93.130626,0,0,8.835745
Tesla-K40,matMul_gpu,7680,2880,745,0,58982400,0,0,42467328000,3686400,0,92.683854,0,0,9.78608
Tesla-K40,matMul_gpu,7936,2880,745,0,62980096,0,0,46857191424,3936256,0,92.921766,0,0,10.988883
Tesla-K40,matMul_gpu,8192,2880,745,0,67108864,0,0,51539607552,4194304,0,92.527384,0,0,11.88191
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,256,2880,745,0,65536,0,0,1048576,32768,83.674812,99.356732,1572864,262151,0.000416288
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,512,2880,745,0,262144,0,0,8388608,131072,83.201432,74.148821,12582912,2097166,0.003131228
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,768,2880,745,0,589824,0,0,28311552,294912,82.531491,65.201478,42467328,7078049,0.010478
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,1024,2880,745,0,1048576,0,0,67108864,524288,83.278805,59.351644,100663296,16777674,0.024871
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,1280,2880,745,0,1638400,0,0,131072000,819200,82.332013,60.686839,196608000,32768496,0.048442
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,1536,2880,745,0,2359296,0,0,226492416,1179648,82.486086,57.231876,339738624,56624178,0.08377
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,1792,2880,745,0,3211264,0,0,359661568,1605632,82.414551,56.080082,539492352,89916750,0.132763
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,2048,2880,745,0,4194304,0,0,536870912,2097152,83.582468,51.273118,805306368,134222474,0.198194
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,2304,2880,745,0,5308416,0,0,764411904,2654208,82.259002,52.68362,1146617856,191105902,0.281993
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,2560,2880,745,0,6553600,0,0,1048576000,3276800,81.715285,54.293678,1572864000,262147847,0.386503
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,2816,2880,745,0,7929856,0,0,1395654656,3964928,82.388736,51.552875,2093481984,348918493,0.514459
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,3072,2880,745,0,9437184,0,0,1811939328,4718592,83.00147,50.044263,2717908992,452992338,0.668275
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,3328,2880,745,0,11075584,0,0,2303721472,5537792,81.56346,52.426448,3455582208,575937742,0.849084
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,3584,2880,745,0,12845056,0,0,2877292544,6422528,81.75116,51.913836,4315938816,719332468,1.059756
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,3840,2880,745,0,14745600,0,0,3538944000,7372800,81.912957,49.358297,5308416000,884748509,1.304673
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,4096,2880,745,0,16777216,0,0,4294967296,8388608,83.745037,44.602546,6442450944,1073790113,1.582054
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,4352,2880,745,0,18939904,0,0,5151653888,9469952,81.724444,50.32595,7727480832,1287931238,1.898069
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,4608,2880,745,0,21233664,0,0,6115295232,10616832,81.721253,48.272419,9172942848,1528845549,2.255329
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,4864,2880,745,0,23658496,0,0,7192182784,11829248,82.953572,46.07656,10788274176,1798078866,2.651427
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,5120,2880,745,0,26214400,0,0,8388608000,13107200,82.344553,46.661339,12582912000,2097183655,3.09209
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,5376,2880,745,0,28901376,0,0,9710862336,14450688,81.023166,49.927505,14566293504,2427736933,3.58181
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,5632,2880,745,0,31719424,0,0,11165237248,15859712,82.195033,47.086357,16747855872,2791349642,4.115074
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,5888,2880,745,0,34668544,0,0,12758024192,17334272,82.143344,46.73202,19137036288,3189549121,4.70254
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,6144,2880,745,0,37748736,0,0,14495514624,18874368,82.986281,43.12693,21743271936,3623954614,5.347736
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,6400,2880,745,0,40960000,0,0,16384000000,20480000,81.810676,47.106172,24576000000,4096052617,6.04034
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,6656,2880,745,0,44302336,0,0,18429771776,22151168,82.103433,46.715508,27644657664,4607499953,6.79371
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,6912,2880,745,0,47775744,0,0,20639121408,23887872,81.832529,46.094888,30958682112,5159846685,7.615602
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,7168,2880,745,0,51380224,0,0,23018340352,25690112,82.032267,46.011307,34527510528,5754671697,8.489282
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,7424,2880,745,0,55115776,0,0,25573720064,27557888,80.770405,49.093116,38360580096,6393485792,9.579906
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,7680,2880,745,0,58982400,0,0,28311552000,29491200,82.007297,44.43647,42467328000,7077975905,10.457169
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,7936,2880,745,0,62980096,0,0,31238127616,31490048,81.848827,45.99555,46857191424,7809627113,11.520194
Tesla-K40,matMul_gpu_sharedmem_uncoalesced,8192,2880,745,0,67108864,0,0,34359738368,33554432,83.779861,39.187311,51539607552,8590251282,12.672644
Tesla-K40,matMul_gpu_sharedmem,256,2880,745,0,65536,0,0,131072,4096,0,99.961853,1048576,65536,0.000126656
Tesla-K40,matMul_gpu_sharedmem,512,2880,745,0,262144,0,0,1048576,16384,0,96.881485,8388608,524288,0.000948158
Tesla-K40,matMul_gpu_sharedmem,768,2880,745,0,589824,0,0,3538944,36864,0,58.450176,28311552,1769473,0.003224699
Tesla-K40,matMul_gpu_sharedmem,1024,2880,745,0,1048576,0,0,8388608,65536,0,64.440536,67108864,4194311,0.007595027
Tesla-K40,matMul_gpu_sharedmem,1280,2880,745,0,1638400,0,0,16384000,102400,0,53.181622,131072000,8192015,0.014829
Tesla-K40,matMul_gpu_sharedmem,1536,2880,745,0,2359296,0,0,28311552,147456,0,49.633401,226492416,14155795,0.025622
Tesla-K40,matMul_gpu_sharedmem,1792,2880,745,0,3211264,0,0,44957696,200704,0,49.404342,359661568,22478870,0.04066
Tesla-K40,matMul_gpu_sharedmem,2048,2880,745,0,4194304,0,0,67108864,262144,0,48.902847,536870912,33554485,0.060564
Tesla-K40,matMul_gpu_sharedmem,2304,2880,745,0,5308416,0,0,95551488,331776,0,48.931009,764411904,47775821,0.086259
Tesla-K40,matMul_gpu_sharedmem,2560,2880,745,0,6553600,0,0,131072000,409600,0,49.146584,1048576000,65536075,0.118211
Tesla-K40,matMul_gpu_sharedmem,2816,2880,745,0,7929856,0,0,174456832,495616,0,49.07456,1395654656,87228514,0.157339
Tesla-K40,matMul_gpu_sharedmem,3072,2880,745,0,9437184,0,0,226492416,589824,0,48.843729,1811939328,113246339,0.20418
Tesla-K40,matMul_gpu_sharedmem,3328,2880,745,0,11075584,0,0,287965184,692224,0,48.064997,2303721472,143982822,0.259603
Tesla-K40,matMul_gpu_sharedmem,3584,2880,745,0,12845056,0,0,359661568,802816,0,47.87252,2877292544,179831040,0.324126
Tesla-K40,matMul_gpu_sharedmem,3840,2880,745,0,14745600,0,0,442368000,921600,0,47.935448,3538944000,221184243,0.40029
Tesla-K40,matMul_gpu_sharedmem,4096,2880,745,0,16777216,0,0,536870912,1048576,0,47.599906,4294967296,268435901,0.485827
Tesla-K40,matMul_gpu_sharedmem,4352,2880,745,0,18939904,0,0,643956736,1183744,0,47.017314,5151653888,321978716,0.58265
Tesla-K40,matMul_gpu_sharedmem,4608,2880,745,0,21233664,0,0,764411904,1327104,0,46.79885,6115295232,382206470,0.704802
Tesla-K40,matMul_gpu_sharedmem,4864,2880,745,0,23658496,0,0,899022848,1478656,0,46.189292,7192182784,449511950,0.812848
Tesla-K40,matMul_gpu_sharedmem,5120,2880,745,0,26214400,0,0,1048576000,1638400,0,45.706347,8388608000,524288563,0.947929
Tesla-K40,matMul_gpu_sharedmem,5376,2880,745,0,28901376,0,0,1213857792,1806336,0,45.262067,9710862336,606929613,1.097868
Tesla-K40,matMul_gpu_sharedmem,5632,2880,745,0,31719424,0,0,1395654656,1982464,0,45.488469,11165237248,697828246,1.285352
Tesla-K40,matMul_gpu_sharedmem,5888,2880,745,0,34668544,0,0,1594753024,2166784,0,44.673451,12758024192,797377464,1.468624
Tesla-K40,matMul_gpu_sharedmem,6144,2880,745,0,37748736,0,0,1811939328,2359296,0,44.050638,14495514624,905970758,1.667849
Tesla-K40,matMul_gpu_sharedmem,6400,2880,745,0,40960000,0,0,2048000000,2560000,0,43.366596,16384000000,1024001251,1.884907
Tesla-K40,matMul_gpu_sharedmem,6656,2880,745,0,44302336,0,0,2303721472,2768896,0,43.767033,18429771776,1151862244,2.079199
Tesla-K40,matMul_gpu_sharedmem,6912,2880,745,0,47775744,0,0,2579890176,2985984,0,43.27038,20639121408,1289946667,2.331243
Tesla-K40,matMul_gpu_sharedmem,7168,2880,745,0,51380224,0,0,2877292544,3211264,0,42.161483,23018340352,1438648172,2.595841
Tesla-K40,matMul_gpu_sharedmem,7424,2880,745,0,55115776,0,0,3196715008,3444736,0,41.516735,25573720064,1598359479,2.88413
Tesla-K40,matMul_gpu_sharedmem,7680,2880,745,0,58982400,0,0,3538944000,3686400,0,41.613528,28311552000,1769473980,3.195296
Tesla-K40,matMul_gpu_sharedmem,7936,2880,745,0,62980096,0,0,3904765952,3936256,0,42.857731,31238127616,1952385815,3.5069
Tesla-K40,matMul_gpu_sharedmem,8192,2880,745,0,67108864,0,0,4294967296,4194304,0,40.926885,34359738368,2147486941,3.854885
GTX-680,matMul_gpu,256,1536,1058,0,65536,0,0,4096,0,0,100,0,1572864,0.00056451
GTX-680,matMul_gpu,512,1536,1058,0,262144,0,0,16384,0,0,100,0,12582912,0.004482986
GTX-680,matMul_gpu,768,1536,1058,0,589824,0,0,36864,0,0,100,0,42467328,0.015069
GTX-680,matMul_gpu,1024,1536,1058,0,1048576,0,0,65536,0,0,100,0,100663296,0.035724
GTX-680,matMul_gpu,1280,1536,1058,0,1638400,0,0,102400,0,0,100,0,196608000,0.06966
GTX-680,matMul_gpu,1536,1536,1058,0,2359296,0,0,147456,0,0,100,0,339738624,0.120087
GTX-680,matMul_gpu,1792,1536,1058,0,3211264,0,0,200704,0,0,100,0,539492352,0.19122
GTX-680,matMul_gpu,2048,1536,1058,0,4194304,0,0,262144,0,0,100,0,805306368,0.283139
