"","Gpus","Apps","InputSize","ThreadBlock","Measured","Predicted","accuracy","Min","max","Mean","Median","SD","mse","mae","mape"
"97","GTX-680","matMul_gpu_sharedmem",256,256,0.000152641,0.370270698508895,2425.76174493678,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"98","GTX-680","matMul_gpu_sharedmem",512,256,0.001193712,0.343875452446643,288.072376290632,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"99","GTX-680","matMul_gpu_sharedmem",768,256,0.003989662,0.346636918828445,86.8837808386889,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"100","GTX-680","matMul_gpu_sharedmem",1024,256,0.009404344,0.355488872268575,37.8004964799858,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"101","GTX-680","matMul_gpu_sharedmem",1280,256,0.018386,0.3701039049763,20.1296587064234,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"102","GTX-680","matMul_gpu_sharedmem",1536,256,0.031754,0.390498142593679,12.2976047928979,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"103","GTX-680","matMul_gpu_sharedmem",1792,256,0.050327,0.41689755968307,8.28377530317862,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"104","GTX-680","matMul_gpu_sharedmem",2048,256,0.075129,0.449618319515668,5.98461738497342,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"105","GTX-680","matMul_gpu_sharedmem",2304,256,0.113854,0.489324743803707,4.29782654806776,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"106","GTX-680","matMul_gpu_sharedmem",2560,256,0.147237,0.536708528533538,3.64520146792951,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"107","GTX-680","matMul_gpu_sharedmem",2816,256,0.195781,0.591877063106516,3.02315885150508,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"108","GTX-680","matMul_gpu_sharedmem",3072,256,0.254341,0.656063401751104,2.5794637976225,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"109","GTX-680","matMul_gpu_sharedmem",3328,256,0.324093,0.729366087077926,2.2504839261506,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"110","GTX-680","matMul_gpu_sharedmem",3584,256,0.403502,0.812269409457425,2.01304927722149,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"111","GTX-680","matMul_gpu_sharedmem",3840,256,0.498468,0.906605092726645,1.81878293637033,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"112","GTX-680","matMul_gpu_sharedmem",4096,256,0.603458,1.00874117337622,1.67160129350546,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"113","GTX-680","matMul_gpu_sharedmem",4352,256,0.727781,1.12582974231881,1.54693478164285,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"114","GTX-680","matMul_gpu_sharedmem",4608,256,0.865488,1.25509813250649,1.45016237372037,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"115","GTX-680","matMul_gpu_sharedmem",4864,256,1.01677,1.3950687927182,1.37205935729634,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"116","GTX-680","matMul_gpu_sharedmem",5120,256,1.188166,1.54945677824578,1.3040743282048,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"117","GTX-680","matMul_gpu_sharedmem",5376,256,1.379904,1.7182092027955,1.24516575268678,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"118","GTX-680","matMul_gpu_sharedmem",5632,256,1.587156,1.90304177957615,1.19902629582483,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"119","GTX-680","matMul_gpu_sharedmem",5888,256,1.82139,2.10384108679754,1.15507446883838,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"120","GTX-680","matMul_gpu_sharedmem",6144,256,2.07214,2.3166224405403,1.11798548386706,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"121","GTX-680","matMul_gpu_sharedmem",6400,256,2.33912,2.54378435515025,1.0874963042299,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"122","GTX-680","matMul_gpu_sharedmem",6656,256,2.638746,2.79616642592415,1.05965728642474,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"123","GTX-680","matMul_gpu_sharedmem",6912,256,2.958122,3.06164196564732,1.03499516438041,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"124","GTX-680","matMul_gpu_sharedmem",7168,256,3.333383,3.34159595673089,1.0024638503079,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"125","GTX-680","matMul_gpu_sharedmem",7424,256,3.659182,3.64089992458689,0.995003780786768,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"126","GTX-680","matMul_gpu_sharedmem",7680,256,4.107917,3.97107838879695,0.966689051603756,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"127","GTX-680","matMul_gpu_sharedmem",7936,256,4.493037,4.31366239575174,0.960077202959099,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"128","GTX-680","matMul_gpu_sharedmem",8192,256,4.97945,4.65912058878173,0.935669720306808,0.935669720306808,2425.76174493678,91.4045674385941,1.60926803757416,429.165558117076,0.1081464913547,0.308759074084013,1.16406698878125
"355","Tesla-K40","matMul_gpu_sharedmem",256,256,0.000130848,-0.224478271131601,-1715.56516822268,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"356","Tesla-K40","matMul_gpu_sharedmem",512,256,0.000950527,-0.301027548997489,-316.695421589802,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"357","Tesla-K40","matMul_gpu_sharedmem",768,256,0.003224696,-0.308070016692253,-95.5345920025493,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"358","Tesla-K40","matMul_gpu_sharedmem",1024,256,0.007609263,-0.303136726212521,-39.8378563354323,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"359","Tesla-K40","matMul_gpu_sharedmem",1280,256,0.014871,-0.29112495228598,-19.5766896836783,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"360","Tesla-K40","matMul_gpu_sharedmem",1536,256,0.025632,-0.274276897499169,-10.7005656015593,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"361","Tesla-K40","matMul_gpu_sharedmem",1792,256,0.040617,-0.251539028877752,-6.1929494762723,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"362","Tesla-K40","matMul_gpu_sharedmem",2048,256,0.0606,-0.224230034425574,-3.70016558458044,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"363","Tesla-K40","matMul_gpu_sharedmem",2304,256,0.08622,-0.191530950467105,-2.22142136937027,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"364","Tesla-K40","matMul_gpu_sharedmem",2560,256,0.118292,-0.153287116922376,-1.29583671695783,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"365","Tesla-K40","matMul_gpu_sharedmem",2816,256,0.157389,-0.109049998592543,-0.692869251298013,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"366","Tesla-K40","matMul_gpu_sharedmem",3072,256,0.204372,-0.0584529300837144,-0.286012418940532,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"367","Tesla-K40","matMul_gpu_sharedmem",3328,256,0.259411,-0.00109825944501256,-0.00423366566958439,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"368","Tesla-K40","matMul_gpu_sharedmem",3584,256,0.324119,0.0633295051071985,0.195389672025394,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"369","Tesla-K40","matMul_gpu_sharedmem",3840,256,0.39857,0.135139389132497,0.339060614528182,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"370","Tesla-K40","matMul_gpu_sharedmem",4096,256,0.483629,0.214682982164458,0.443900142804626,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"371","Tesla-K40","matMul_gpu_sharedmem",4352,256,0.589411,0.30236440887279,0.512994173628912,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"372","Tesla-K40","matMul_gpu_sharedmem",4608,256,0.688386,0.398498656340594,0.578888379979537,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"373","Tesla-K40","matMul_gpu_sharedmem",4864,256,0.809162,0.503450939916588,0.622188066069079,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"374","Tesla-K40","matMul_gpu_sharedmem",5120,256,0.943535,0.617766777837278,0.654736472772369,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
