256,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",270336,270336,139264,139264,0,0,498,140,244,254,292,200,0,0,0,0,65536,65536,65536,65536,2048,2048,2048,2048,65536,65536,65536,65536,2048,2048,2048,2048,65548,65544,65568,65560,2053,2049,2048,2048,0,0,0,0,5,0,0,0,997084,0,0,2097152,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,2495352,901376,532736,1966080,62914560,62783488,0,0,655360,65536,0,0,0,0,0,65536,2048,0,36864,982117,60674222,7596571,256,0,0,786432,65536
512,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",2129920,2129920,1081344,1081344,162327,32577,28776,28760,14373,14403,14360,14374,81162,81165,81168,81176,524288,524288,524288,524288,8192,8192,8192,8192,507992,508000,507988,507992,4096,4096,4096,4096,580462,580480,580496,580488,8192,8196,8192,8194,0,0,0,0,0,4,0,1,7762648,0,0,16777216,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,19753512,7012608,4227328,15466496,494927872,494403584,0,0,5242880,524288,0,0,0,0,0,524288,8192,0,278528,7744680,490832232,61326077,1024,0,0,6291456,524288
768,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",7151616,7151616,3612672,3612672,1754653,1743424,55556,55542,27757,27799,27892,27858,876788,877865,876308,877196,1769472,1769472,1769472,1769472,18432,18432,18432,18432,899528,898288,900180,899532,9216,9216,9216,9216,1769472,1769472,1769480,1769488,18433,18432,18432,18437,0,0,0,0,0,0,4,1,26282644,0,0,56623104,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,67350796,23445760,14229760,51904512,1660944384,1659764736,0,0,17694720,1769472,0,0,0,0,0,1769472,18432,0,921600,26245651,1670712018,209083683,2304,0,0,21233664,1769472
1024,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",16908288,16908288,8519680,8519680,4389570,4389576,83258,83302,41629,41629,41668,41656,2194786,2194784,2194784,2194793,4194304,4194304,4194304,4194304,32768,32768,32768,32768,2064384,2064384,2064384,2064384,16384,16384,16384,16384,4259186,4259192,4259208,4259208,32769,32768,32773,32768,0,0,0,0,1,0,4,0,62158068,0,0,134217728,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,159402388,55312640,33685760,122683392,3925868544,3923771392,0,0,41943040,4194304,0,0,0,0,0,4194304,32768,0,2162688,62099742,3961569398,495534769,4096,0,0,50331648,4194304
1280,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",32972800,32972800,16588800,16588800,8424843,8554525,120324,121604,60161,60163,60088,60070,4212414,4212429,4212416,4212420,8192000,8192000,8192000,8192000,51200,51200,51200,51200,4044516,4044520,4044528,4044524,25600,25600,25600,25600,8321768,8321756,8321772,8321753,51200,51201,51200,51205,0,0,0,0,0,0,4,1,121466744,0,0,262144000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,311959200,107725056,65741056,239206400,7654604800,7651328000,0,0,81920000,8192000,0,0,0,0,0,8192000,51200,0,4198400,121418895,7754657400,969500736,6400,0,0,98304000,8192000
1536,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",56918016,56918016,28606464,28606464,14564536,14694280,165386,166786,82677,82709,82704,82700,7282272,7282264,7282232,7282237,14155776,14155776,14155776,14155776,73728,73728,73728,73728,7003344,7003412,7003380,7003408,36864,36864,36864,36864,14285544,14285536,14285560,14285545,73728,73732,73728,73730,0,0,0,0,4,0,0,1,209681968,0,0,452984832,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,538967072,185794816,113541376,412876800,13212057600,13207339008,0,0,141557760,14155776,0,0,0,0,0,14155776,73728,0,7225344,209624366,13395245166,1675413442,9216,0,0,169869312,14155776
1792,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",90316800,90316800,45359104,45359104,23202928,23203185,218630,220140,109305,109325,109310,109286,11601456,11601472,11601409,11601368,22478848,22478848,22478848,22478848,100352,100352,100352,100352,11136888,11136900,11137032,11137016,50172,50176,50172,50170,22803194,22803192,22803208,22803208,100354,100356,100352,100352,0,0,0,0,1,4,0,0,333349332,0,0,719323136,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,864039232,294633728,180232448,655097856,20963131392,20956708864,0,0,224788480,22478848,0,0,0,0,0,22478848,100352,0,11440128,333245303,21300209844,2670778570,12544,0,0,269746176,22478848
2048,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",134742016,134742016,67633152,67633152,34729511,34658672,281484,280154,140720,140764,140556,140518,17364762,17364749,17364752,17364756,33554432,33554432,33554432,33554432,131072,131072,131072,131072,16643904,16643896,16643888,16643888,65536,65536,65536,65536,33943760,33943720,33943744,33943760,131073,131076,131072,131073,0,0,0,0,1,4,0,0,498318292,0,0,1073741824,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,1285020356,439353600,268960000,977272832,31272730624,31264342016,0,0,335544320,33554432,0,0,0,0,0,33554432,131072,0,17039360,498143174,31850853858,3981150650,16384,0,0,402653184,33554432
2304,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",191766528,191766528,96215040,96215040,49285746,49427468,350910,350918,175432,175478,175456,175404,24642918,24642828,24642808,24643069,47775744,47775744,47775744,47775744,165888,165888,165888,165888,23714792,23714876,23715220,23714804,82850,82842,82844,82850,48359578,48359584,48359608,48359608,165889,165892,165889,165888,0,0,0,0,1,4,0,0,711854640,0,0,1528823808,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,1837328912,625066240,382869760,1390804992,44505759744,44495142912,0,0,477757440,47775744,0,0,0,0,0,47775744,165888,0,24219648,711765750,45513529856,5711555786,20736,0,0,573308928,47775744
2560,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",262963200,262963200,131891200,131891200,67545396,67674589,427646,428888,213816,213830,213824,213820,33772596,33772800,33772548,33772805,65536000,65536000,65536000,65536000,204800,204800,204800,204800,32547568,32547416,32547992,32548100,102144,102114,102156,102144,66314656,66314596,66314680,66314677,204801,204801,204808,204820,0,0,0,0,0,1,0,4,978263576,0,0,2097152000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,2529607224,856883456,525107456,1907097600,61027123200,61014016000,0,0,655360000,65536000,0,0,0,0,0,65536000,204800,0,33177600,978152778,62555510026,7816357078,25600,0,0,786432000,65536000
