256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,0.226305,4.901900e-05,,,,,,,,,,256.000000,4.980531,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
256,0.226426,4.671600e-05,,,,,,,,,,256.000000,5.226060,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
256,0.226483,4.283400e-04,32,32,1,8,8,1,23,512,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,0.227611,1.674390e-04,,,,,,,,,,1.000000,5.832348,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
512,0.228017,1.864450e-04,,,,,,,,,,1.000000,5.237805,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
512,0.228209,3.392292e-03,64,64,1,8,8,1,23,512,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,0.235652,5.733170e-04,,,,,,,,,,2.250000,3.832549,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
768,0.236471,5.256090e-04,,,,,,,,,,2.250000,4.180419,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
768,0.237045,0.011674,96,96,1,8,8,1,23,512,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,0.247838,1.098797e-03,,,,,,,,,,4.000000,3.555024,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1024,0.249155,1.101069e-03,,,,,,,,,,4.000000,3.547689,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1024,0.250267,0.027629,128,128,1,8,8,1,23,512,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,0.263565,1.845565e-03,,,,,,,,,,6.250000,3.307126,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1280,0.265677,1.890361e-03,,,,,,,,,,6.250000,3.228757,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1280,0.267641,0.054678,160,160,1,8,8,1,23,512,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,0.275833,2.719488e-03,,,,,,,,,,9.000000,3.231881,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1536,0.278782,2.661798e-03,,,,,,,,,,9.000000,3.301927,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1536,0.281480,0.097194,192,192,1,8,8,1,23,512,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,0.297952,3.881348e-03,,,,,,,,,,12.250000,3.082148,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1792,0.302096,3.697815e-03,,,,,,,,,,12.250000,3.235124,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1792,0.305848,0.156315,224,224,1,8,8,1,23,512,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,0.317853,4.998636e-03,,,,,,,,,,16.000000,3.125853,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2048,0.323077,4.900278e-03,,,,,,,,,,16.000000,3.188595,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2048,0.328036,0.219965,256,256,1,8,8,1,23,512,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,0.352172,6.270626e-03,,,,,,,,,,20.250000,3.153655,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2304,0.358673,6.193386e-03,,,,,,,,,,20.250000,3.192985,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2304,0.364919,0.335841,288,288,1,8,8,1,23,512,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,0.376118,7.815612e-03,,,,,,,,,,25.000000,3.123756,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2560,0.384148,7.569877e-03,,,,,,,,,,25.000000,3.225160,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2560,0.391753,0.452239,320,320,1,8,8,1,23,512,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
2816,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2816,s,s,,,,,,,,B,B,MB,GB/s,,,,
2816,0.412835,9.476455e-03,,,,,,,,,,30.250000,3.117307,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2816,0.422550,9.236384e-03,,,,,,,,,,30.250000,3.198331,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2816,0.431905,0.609942,352,352,1,8,8,1,23,512,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
3072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3072,s,s,,,,,,,,B,B,MB,GB/s,,,,
3072,0.451829,0.011035,,,,,,,,,,36.000000,3.185746,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
