256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,0.217767,4.092400e-05,,,,,,,,,,256.000000,5.965708,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
256,0.217869,4.636300e-05,,,,,,,,,,256.000000,5.265850,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
256,0.217919,1.133864e-03,32,32,1,8,8,1,27,0,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,0.226743,1.648790e-04,,,,,,,,,,1.000000,5.922904,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
512,0.227173,1.866040e-04,,,,,,,,,,1.000000,5.233342,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
512,0.227365,9.045554e-03,64,64,1,8,8,1,27,0,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,0.234819,5.638430e-04,,,,,,,,,,2.250000,3.896946,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
768,0.235639,6.039670e-04,,,,,,,,,,2.250000,3.638056,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
768,0.236271,0.033142,96,96,1,8,8,1,27,0,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,0.245326,1.266934e-03,,,,,,,,,,4.000000,3.083231,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1024,0.246857,1.178464e-03,,,,,,,,,,4.000000,3.314696,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1024,0.248048,0.078699,128,128,1,8,8,1,27,0,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,0.263656,1.841237e-03,,,,,,,,,,6.250000,3.314900,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1280,0.265739,1.865651e-03,,,,,,,,,,6.250000,3.271521,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1280,0.267664,0.156833,160,160,1,8,8,1,27,0,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,0.277190,2.756367e-03,,,,,,,,,,9.000000,3.188640,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1536,0.280179,2.747280e-03,,,,,,,,,,9.000000,3.199187,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1536,0.282965,0.271762,192,192,1,8,8,1,27,0,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,0.299121,3.828055e-03,,,,,,,,,,12.250000,3.125057,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1792,0.303182,3.706149e-03,,,,,,,,,,12.250000,3.227849,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
1792,0.306940,0.436826,224,224,1,8,8,1,27,0,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,0.328101,5.218235e-03,,,,,,,,,,16.000000,2.994307,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2048,0.333576,5.119173e-03,,,,,,,,,,16.000000,3.052251,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2048,0.338730,0.632045,256,256,1,8,8,1,27,0,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,0.353174,6.296417e-03,,,,,,,,,,20.250000,3.140737,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2304,0.359705,6.335740e-03,,,,,,,,,,20.250000,3.121244,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2304,0.366096,0.979323,288,288,1,8,8,1,27,0,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,0.389420,7.841970e-03,,,,,,,,,,25.000000,3.113256,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2560,0.397486,7.861040e-03,,,,,,,,,,25.000000,3.105704,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2560,0.405382,1.375329,320,320,1,8,8,1,27,0,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
2816,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2816,s,s,,,,,,,,B,B,MB,GB/s,,,,
2816,0.420264,9.548528e-03,,,,,,,,,,30.250000,3.093777,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2816,0.430050,9.577805e-03,,,,,,,,,,30.250000,3.084320,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
2816,0.439683,2.003670,352,352,1,8,8,1,27,0,0,,,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int) [103]"
3072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3072,s,s,,,,,,,,B,B,MB,GB/s,,,,
3072,0.448313,0.012008,,,,,,,,,,36.000000,2.927761,"GeForce GTX 750 (0)","1","7","[CUDA memcpy HtoD]"
