240,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
240,s,s,,,,,,,,B,KB,KB,GB/s,,,,
240,0.364288,2.112000e-05,,,,,,,,,,225.000000,10.159883,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
240,0.364358,2.118400e-05,,,,,,,,,,225.000000,10.129188,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
240,0.364419,6.233500e-05,12,12,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
480,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
480,s,s,,,,,,,,B,KB,KB,GB/s,,,,
480,0.361103,7.644700e-05,,,,,,,,,,900.000000,11.227476,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
480,0.361349,7.676700e-05,,,,,,,,,,900.000000,11.180675,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
480,0.361431,4.504570e-04,24,24,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
720,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
720,s,s,,,,,,,,B,KB,MB,GB/s,,,,
720,0.340801,2.407960e-04,,,,,,,,,,1.977539,8.020027,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
720,0.341204,2.411160e-04,,,,,,,,,,1.977539,8.009383,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
720,0.341450,1.540424e-03,36,36,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
960,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
960,s,s,,,,,,,,B,KB,MB,GB/s,,,,
960,0.380119,4.704570e-04,,,,,,,,,,3.515625,7.297644,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
960,0.380760,4.881840e-04,,,,,,,,,,3.515625,7.032651,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
960,0.381274,3.604712e-03,48,48,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1200,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1200,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1200,0.389367,7.817480e-04,,,,,,,,,,5.493164,6.862081,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1200,0.390323,7.856840e-04,,,,,,,,,,5.493164,6.827704,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1200,0.391140,6.998130e-03,60,60,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1440,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1440,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1440,0.410106,1.289675e-03,,,,,,,,,,7.910156,5.989697,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1440,0.411567,1.247052e-03,,,,,,,,,,7.910156,6.194418,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1440,0.412819,0.012075,72,72,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1680,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1680,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1680,0.412305,1.649862e-03,,,,,,,,,,10.766602,6.372811,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1680,0.414126,1.596999e-03,,,,,,,,,,10.766602,6.583761,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1680,0.415733,0.019119,84,84,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1920,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1920,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1920,0.428073,2.201852e-03,,,,,,,,,,14.062500,6.236981,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1920,0.430437,2.127389e-03,,,,,,,,,,14.062500,6.455289,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1920,0.432569,0.028532,96,96,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2160,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2160,s,s,,,,,,,,B,KB,MB,GB/s,,,,
2160,0.442995,2.570838e-03,,,,,,,,,,17.797852,6.760719,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2160,0.445710,2.398937e-03,,,,,,,,,,17.797852,7.245173,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2160,0.448123,0.040607,108,108,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2400,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2400,s,s,,,,,,,,B,KB,MB,GB/s,,,,
2400,0.460185,2.957903e-03,,,,,,,,,,21.972656,7.254353,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2400,0.463284,2.741010e-03,,,,,,,,,,21.972656,7.828382,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2400,0.466030,0.055684,120,120,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2640,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2640,s,s,,,,,,,,B,KB,MB,GB/s,,,,
2640,0.424877,3.012784e-03,,,,,,,,,,26.586914,8.617871,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2640,0.428003,2.899953e-03,,,,,,,,,,26.586914,8.953174,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2640,0.430908,0.074007,132,132,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2880,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2880,s,s,,,,,,,,B,KB,MB,GB/s,,,,
2880,0.484502,3.543781e-03,,,,,,,,,,31.640625,8.719232,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2880,0.488159,3.433926e-03,,,,,,,,,,31.640625,8.998169,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2880,0.491598,0.084181,144,144,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
3120,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3120,s,s,,,,,,,,B,KB,MB,GB/s,,,,
3120,0.544536,6.368435e-03,,,,,,,,,,37.133789,5.694251,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
3120,0.551075,5.916764e-03,,,,,,,,,,37.133789,6.128936,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
3120,0.557015,0.103839,156,156,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
3360,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3360,s,s,,,,,,,,B,KB,MB,GB/s,,,,
3360,0.511189,4.820494e-03,,,,,,,,,,43.066406,8.724632,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
3360,0.516122,4.713200e-03,,,,,,,,,,43.066406,8.923245,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
3360,0.520840,0.130182,168,168,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
3600,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3600,s,s,,,,,,,,B,KB,MB,GB/s,,,,
3600,0.563773,7.960536e-03,,,,,,,,,,49.438477,6.064888,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
3600,0.571901,7.595134e-03,,,,,,,,,,49.438477,6.356670,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
3600,0.579539,0.160684,180,180,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
3840,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3840,s,s,,,,,,,,B,KB,MB,GB/s,,,,
3840,0.566864,6.280981e-03,,,,,,,,,,56.250000,8.745710,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
3840,0.573254,6.180342e-03,,,,,,,,,,56.250000,8.888123,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
3840,0.579439,0.197160,192,192,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
4080,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
4080,s,s,,,,,,,,B,KB,MB,GB/s,,,,
4080,0.609431,8.779049e-03,,,,,,,,,,63.500977,7.063712,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
4080,0.618346,8.438255e-03,,,,,,,,,,63.500977,7.348992,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
4080,0.626817,0.224429,204,204,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
4320,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
4320,s,s,,,,,,,,B,KB,MB,GB/s,,,,
4320,0.619919,0.010407,,,,,,,,,,71.191406,6.680093,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
4320,0.630480,9.901686e-03,,,,,,,,,,71.191406,7.021315,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
4320,0.640411,0.277477,216,216,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
4560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
4560,s,s,,,,,,,,B,KB,MB,GB/s,,,,
4560,0.614886,8.838726e-03,,,,,,,,,,79.321289,8.763955,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
4560,0.623840,8.782664e-03,,,,,,,,,,79.321289,8.819898,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
4560,0.632627,0.332514,228,228,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
4800,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
4800,s,s,,,,,,,,B,KB,MB,GB/s,,,,
4800,0.716432,0.013517,,,,,,,,,,87.890625,6.349842,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
4800,0.730105,0.013076,,,,,,,,,,87.890625,6.563764,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
4800,0.743204,0.389233,240,240,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
5040,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
5040,s,s,,,,,,,,B,KB,MB,GB/s,,,,
5040,0.797669,0.013287,,,,,,,,,,96.899414,7.121959,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
5040,0.811093,0.013101,,,,,,,,,,96.899414,7.223098,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
5040,0.824210,0.451024,252,252,1,20,20,1,24,3.200000e+03,0.000000,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
