256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,1.489985,2.371200e-05,,,,,,,,,,256.000000,10.296079,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
256,1.490056,2.342400e-05,,,,,,,,,,256.000000,10.422670,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
256,1.490100,4.607000e-06,16,16,1,16,16,1,8,0,0,,,"GeForce GTX 970 (1)","2","14","matSum(float*, float*, float*, int) [191]"
256,1.490109,2.182400e-05,,,,,,,,,,256.000000,11.186796,"GeForce GTX 970 (1)","2","14","[CUDA memcpy DtoH]"
384,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
384,s,s,,,,,,,,B,B,KB,GB/s,,,,
384,1.463836,4.991900e-05,,,,,,,,,,576.000000,11.004155,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
384,1.463959,4.998300e-05,,,,,,,,,,576.000000,10.990065,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
384,1.464013,8.064000e-06,24,24,1,16,16,1,8,0,0,,,"GeForce GTX 970 (1)","2","14","matSum(float*, float*, float*, int) [191]"
384,1.464023,4.678300e-05,,,,,,,,,,576.000000,11.741795,"GeForce GTX 970 (1)","2","14","[CUDA memcpy DtoH]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,1.440460,8.655900e-05,,,,,,,,,,1.000000,11.282045,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
512,1.440671,8.675100e-05,,,,,,,,,,1.000000,11.257075,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
512,1.440763,1.891100e-05,32,32,1,16,16,1,8,0,0,,,"GeForce GTX 970 (1)","2","14","matSum(float*, float*, float*, int) [191]"
512,1.440783,8.102300e-05,,,,,,,,,,1.000000,12.052905,"GeForce GTX 970 (1)","2","14","[CUDA memcpy DtoH]"
640,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
640,s,s,,,,,,,,B,B,MB,GB/s,,,,
640,1.454899,1.364460e-04,,,,,,,,,,1.562500,11.183024,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
640,1.455155,1.365420e-04,,,,,,,,,,1.562500,11.175162,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
640,1.455297,3.302300e-05,40,40,1,16,16,1,8,0,0,,,"GeForce GTX 970 (1)","2","14","matSum(float*, float*, float*, int) [191]"
640,1.455332,1.283820e-04,,,,,,,,,,1.562500,11.885458,"GeForce GTX 970 (1)","2","14","[CUDA memcpy DtoH]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,1.458711,2.160290e-04,,,,,,,,,,2.250000,10.171160,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
768,1.459030,2.166690e-04,,,,,,,,,,2.250000,10.141117,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
768,1.459252,4.796700e-05,48,48,1,16,16,1,8,0,0,,,"GeForce GTX 970 (1)","2","14","matSum(float*, float*, float*, int) [191]"
768,1.459301,4.593540e-04,,,,,,,,,,2.250000,4.783382,"GeForce GTX 970 (1)","2","14","[CUDA memcpy DtoH]"
896,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
896,s,s,,,,,,,,B,B,MB,GB/s,,,,
896,1.459793,3.405070e-04,,,,,,,,,,3.062500,8.783146,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
896,1.460251,3.277720e-04,,,,,,,,,,3.062500,9.124399,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
896,1.460583,6.505500e-05,56,56,1,16,16,1,8,0,0,,,"GeForce GTX 970 (1)","2","14","matSum(float*, float*, float*, int) [191]"
896,1.460650,6.387420e-04,,,,,,,,,,3.062500,4.682208,"GeForce GTX 970 (1)","2","14","[CUDA memcpy DtoH]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,1.494752,5.889830e-04,,,,,,,,,,4.000000,6.632195,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
1024,1.495508,5.767600e-04,,,,,,,,,,4.000000,6.772748,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
1024,1.496090,8.383900e-05,64,64,1,16,16,1,8,0,0,,,"GeForce GTX 970 (1)","2","14","matSum(float*, float*, float*, int) [191]"
1024,1.496175,1.813285e-03,,,,,,,,,,4.000000,2.154239,"GeForce GTX 970 (1)","2","14","[CUDA memcpy DtoH]"
1152,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1152,s,s,,,,,,,,B,B,MB,GB/s,,,,
1152,1.449202,5.300080e-04,,,,,,,,,,5.062500,9.327874,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
1152,1.449838,5.281840e-04,,,,,,,,,,5.062500,9.360086,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
1152,1.450371,1.060470e-04,72,72,1,16,16,1,8,0,0,,,"GeForce GTX 970 (1)","2","14","matSum(float*, float*, float*, int) [191]"
1152,1.450479,1.021680e-03,,,,,,,,,,5.062500,4.838939,"GeForce GTX 970 (1)","2","14","[CUDA memcpy DtoH]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,1.479270,8.881150e-04,,,,,,,,,,6.250000,6.872438,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
1280,1.480315,8.704190e-04,,,,,,,,,,6.250000,7.012158,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
1280,1.481191,1.303340e-04,80,80,1,16,16,1,8,0,0,,,"GeForce GTX 970 (1)","2","14","matSum(float*, float*, float*, int) [191]"
1280,1.481323,2.363004e-03,,,,,,,,,,6.250000,2.582948,"GeForce GTX 970 (1)","2","14","[CUDA memcpy DtoH]"
1408,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1408,s,s,,,,,,,,B,B,MB,GB/s,,,,
1408,1.505132,1.023281e-03,,,,,,,,,,7.562500,7.217230,"GeForce GTX 970 (1)","2","14","[CUDA memcpy HtoD]"
