256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,1.345613,2.355200e-05,,,,,,,,,,256.000000,10.366025,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
256,1.345686,2.371200e-05,,,,,,,,,,256.000000,10.296079,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
256,1.345736,5.216000e-06,8,8,1,32,32,1,8,0,0,,,"GeForce GTX 970 (1)","1","7","matSum(float*, float*, float*, int) [189]"
256,1.345755,2.191900e-05,,,,,,,,,,256.000000,11.138310,"GeForce GTX 970 (1)","1","7","[CUDA memcpy DtoH]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,1.337857,8.671900e-05,,,,,,,,,,1.000000,11.261229,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
512,1.338081,8.691100e-05,,,,,,,,,,1.000000,11.236351,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
512,1.338173,1.936000e-05,16,16,1,32,32,1,8,0,0,,,"GeForce GTX 970 (1)","1","7","matSum(float*, float*, float*, int) [189]"
512,1.338194,8.111900e-05,,,,,,,,,,1.000000,12.038641,"GeForce GTX 970 (1)","1","7","[CUDA memcpy DtoH]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,1.325367,2.226850e-04,,,,,,,,,,2.250000,9.867147,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
768,1.325702,2.230370e-04,,,,,,,,,,2.250000,9.851575,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
768,1.325930,4.742400e-05,24,24,1,32,32,1,8,0,0,,,"GeForce GTX 970 (1)","1","7","matSum(float*, float*, float*, int) [189]"
768,1.325979,5.440250e-04,,,,,,,,,,2.250000,4.038906,"GeForce GTX 970 (1)","1","7","[CUDA memcpy DtoH]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,1.356026,5.998330e-04,,,,,,,,,,4.000000,6.512229,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1024,1.356804,5.987130e-04,,,,,,,,,,4.000000,6.524412,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1024,1.357408,8.393500e-05,32,32,1,32,32,1,8,0,0,,,"GeForce GTX 970 (1)","1","7","matSum(float*, float*, float*, int) [189]"
1024,1.357494,1.207218e-03,,,,,,,,,,4.000000,3.235745,"GeForce GTX 970 (1)","1","7","[CUDA memcpy DtoH]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,1.489456,9.605960e-04,,,,,,,,,,6.250000,6.353884,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1280,1.490596,9.317960e-04,,,,,,,,,,6.250000,6.550270,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1280,1.491542,1.316140e-04,40,40,1,32,32,1,8,0,0,,,"GeForce GTX 970 (1)","1","7","matSum(float*, float*, float*, int) [189]"
1280,1.491686,2.266468e-03,,,,,,,,,,6.250000,2.692964,"GeForce GTX 970 (1)","1","7","[CUDA memcpy DtoH]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,1.383537,1.026675e-03,,,,,,,,,,9.000000,8.560706,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1536,1.384680,9.906440e-04,,,,,,,,,,9.000000,8.872070,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1536,1.385675,1.867490e-04,48,48,1,32,32,1,8,0,0,,,"GeForce GTX 970 (1)","1","7","matSum(float*, float*, float*, int) [189]"
1536,1.385864,2.230500e-03,,,,,,,,,,9.000000,3.940400,"GeForce GTX 970 (1)","1","7","[CUDA memcpy DtoH]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,1.372143,1.404399e-03,,,,,,,,,,12.250000,8.518157,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1792,1.373681,1.319471e-03,,,,,,,,,,12.250000,9.066429,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1792,1.375005,2.547810e-04,56,56,1,32,32,1,8,0,0,,,"GeForce GTX 970 (1)","1","7","matSum(float*, float*, float*, int) [189]"
1792,1.375262,2.740446e-03,,,,,,,,,,12.250000,4.365308,"GeForce GTX 970 (1)","1","7","[CUDA memcpy DtoH]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,1.415565,1.858887e-03,,,,,,,,,,16.000000,8.405567,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2048,1.417538,1.760873e-03,,,,,,,,,,16.000000,8.873439,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2048,1.419304,3.319640e-04,64,64,1,32,32,1,8,0,0,,,"GeForce GTX 970 (1)","1","7","matSum(float*, float*, float*, int) [189]"
2048,1.419638,3.479347e-03,,,,,,,,,,16.000000,4.490785,"GeForce GTX 970 (1)","1","7","[CUDA memcpy DtoH]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,1.473205,3.149781e-03,,,,,,,,,,20.250000,6.278338,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2304,1.476513,3.012824e-03,,,,,,,,,,20.250000,6.563739,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2304,1.479544,4.186500e-04,72,72,1,32,32,1,8,0,0,,,"GeForce GTX 970 (1)","1","7","matSum(float*, float*, float*, int) [189]"
2304,1.479965,6.599528e-03,,,,,,,,,,20.250000,2.996486,"GeForce GTX 970 (1)","1","7","[CUDA memcpy DtoH]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,1.466821,3.340019e-03,,,,,,,,,,25.000000,7.309558,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
