256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,1.303822,2.329600e-05,,,,,,,,,,256.000000,10.479938,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
256,1.303879,2.339200e-05,,,,,,,,,,256.000000,10.436928,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
256,1.303916,8.262300e-05,32,32,1,8,8,1,23,512,0,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,1.337560,8.659100e-05,,,,,,,,,,1.000000,11.277875,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
512,1.337779,8.662300e-05,,,,,,,,,,1.000000,11.273709,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
512,1.337871,6.123760e-04,64,64,1,8,8,1,23,512,0,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,1.380897,2.678040e-04,,,,,,,,,,2.250000,8.204753,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
768,1.381325,2.686690e-04,,,,,,,,,,2.250000,8.178337,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
768,1.381599,2.063397e-03,96,96,1,8,8,1,23,512,0,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,1.410012,4.870980e-04,,,,,,,,,,4.000000,8.019433,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1024,1.410632,4.918970e-04,,,,,,,,,,4.000000,7.941195,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1024,1.411130,4.953919e-03,128,128,1,8,8,1,23,512,0,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,1.424654,9.509310e-04,,,,,,,,,,6.250000,6.418463,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1280,1.425776,9.548990e-04,,,,,,,,,,6.250000,6.391792,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1280,1.426744,0.014793,160,160,1,8,8,1,23,512,0,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,1.406419,1.239504e-03,,,,,,,,,,9.000000,7.090790,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1536,1.407800,1.204304e-03,,,,,,,,,,9.000000,7.298043,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1536,1.409009,0.025816,192,192,1,8,8,1,23,512,0,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,1.457692,1.932838e-03,,,,,,,,,,12.250000,6.189288,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1792,1.459793,1.900070e-03,,,,,,,,,,12.250000,6.296026,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
1792,1.461718,0.042486,224,224,1,8,8,1,23,512,0,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,1.485607,2.332832e-03,,,,,,,,,,16.000000,6.697868,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2048,1.488073,2.098051e-03,,,,,,,,,,16.000000,7.447388,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2048,1.490176,0.040643,256,256,1,8,8,1,23,512,0,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,1.422451,2.076515e-03,,,,,,,,,,20.250000,9.523356,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2304,1.424634,1.929221e-03,,,,,,,,,,20.250000,10.250454,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2304,1.426569,0.095432,288,288,1,8,8,1,23,512,0,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,1.432314,2.720058e-03,,,,,,,,,,25.000000,8.975567,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2560,1.435143,2.600668e-03,,,,,,,,,,25.000000,9.387612,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2560,1.437749,0.134618,320,320,1,8,8,1,23,512,0,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2816,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2816,s,s,,,,,,,,B,B,MB,GB/s,,,,
2816,1.384941,3.110166e-03,,,,,,,,,,30.250000,9.498212,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2816,1.388155,2.942456e-03,,,,,,,,,,30.250000,10.039578,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
2816,1.391103,0.178345,352,352,1,8,8,1,23,512,0,,,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int) [190]"
3072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3072,s,s,,,,,,,,B,B,MB,GB/s,,,,
3072,1.504294,3.609164e-03,,,,,,,,,,36.000000,9.740829,"GeForce GTX 970 (1)","1","7","[CUDA memcpy HtoD]"
