288,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",93.509245,0.809786,1.832817,1.826303,976.000000,100.000000,100.000000,99.795082,0.001025,33.164433,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,62208,1119744,0,0,497664,15552,8,699,50.000000,0.000000,99.068486,4.127854,99.068486,6.191780,3.261514,284.974779,99.068486,0.000000,0.000000,1783.232740,99.068486,100.000000,66.666667,248832,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,47775744,0,23887872,0,0,2529792,2532384,"Low (1)","Low (1)",131.578947,"High (8)",23887872,0,19160064,0,995328,33924096,2820096,0,1839456,36288,36288,1327104,1132704,0,0.000000,2.677278,46.738605,10.158125,0.000000,21.821909,14.199152,0.553904,1.931047,0.123917,1.796064,0,5,249127,15558,0,0.000000,49.000000,99.998392,100.000000,99.068486,6.191780,248832,15552,99.185935,6.194169,0.000000,2.038445,"Low (2)",0.000000,0,"Low (1)",0.000000,2.231385,12.415676,0.000000
576,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",97.548438,0.829782,1.838952,1.833671,1912.000000,100.000000,100.000000,99.895397,0.000131,33.110279,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,497664,8957952,0,0,3981312,62208,82416,59648,50.000000,0.000000,103.317721,2.152453,103.317721,3.228679,4.277501,3.095811,103.317721,0.000000,0.000000,1859.718977,103.317721,100.000000,66.666667,1990656,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,382205952,0,191102976,0,0,19823616,19826208,"Low (1)","Low (1)",131.578947,"High (9)",191102976,0,144322560,0,7962624,271060992,19243008,0,14319936,269568,269568,10533888,9009792,0,0.000000,2.444234,46.801990,11.279944,0.000000,22.007124,13.925372,0.089205,1.741203,0.058385,1.652543,0,5,1990727,62214,0,0.000000,49.489796,95.833333,71.894290,103.317721,3.228679,1990656,62208,103.321406,3.228990,0.000000,272.112305,"Low (2)",0.000000,0,"Low (1)",0.000000,2.175313,13.477411,0.000000
864,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",98.902935,0.835723,1.799346,1.799975,2848.000000,100.000000,100.000000,99.929775,0.000039,32.438014,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,1679616,30233088,0,0,13436928,139968,3098887,118663,50.000000,0.000000,103.402137,1.436141,103.402137,2.154211,47.694166,1.826311,103.402137,0.000000,0.000000,1861.238466,103.402137,100.000000,66.666667,6718464,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,1289945088,0,644972544,0,0,66438144,66440736,"Low (3)","Low (1)",131.578947,"High (9)",644972544,0,477010944,0,26873856,914457600,61212672,0,47894112,886464,886464,35458560,30349728,0,0.000000,2.342892,44.184842,17.586569,0.000000,20.292859,12.520948,0.019930,1.482916,0.037832,1.531212,0,5,6718535,139974,0,0.000000,49.657534,55.282696,72.175783,103.402137,2.154211,6718464,139968,103.403230,2.154304,0.000000,80.691406,"Low (2)",0.000000,0,"Low (1)",0.000000,2.094363,13.516214,0.000000
1152,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.505422,0.839006,1.794757,1.789221,3784.000000,100.000000,100.000000,99.947146,0.000017,32.212082,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,3981312,71663616,0,0,31850496,248832,8239196,191106,50.000000,0.000000,105.910373,1.103233,105.910373,1.654850,54.794520,1.270945,105.910373,0.000000,0.000000,1906.386709,105.910373,100.000000,66.666667,15925248,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,3057647616,0,1528823808,0,0,156930048,156932640,"Low (3)","Low (1)",131.578947,"High (9)",1528823808,0,1118748672,0,63700992,2167160832,140673024,0,113012928,2073600,2073600,83939328,71870976,0,0.000000,2.322533,43.586247,18.857545,0.000000,20.156849,12.201120,0.008414,1.351658,0.028111,1.487523,0,5,15925319,248838,0,0.000000,49.742268,48.956550,72.388600,105.910373,1.654850,15925248,248832,105.910845,1.654889,0.000000,34.867188,"Low (2)",0.000000,0,"Low (1)",0.000000,2.062640,13.577784,0.000000
1440,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.621483,0.840617,1.797094,1.798943,4720.000000,100.000000,100.000000,99.957627,0.000008,32.367621,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,7776000,139968000,0,0,62208000,388800,16108026,285700,50.000000,0.000000,106.703910,910.540029,106.703910,1.333799,55.259431,0.980109,106.703910,0.000000,0.000000,1920.670374,106.703910,100.000000,66.666667,31104000,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,5971968000,0,2985984000,0,0,305856000,305858592,"Low (3)","Low (1)",131.578947,"High (9)",2985984000,0,2171059200,0,124416000,4232217600,269568000,0,220127328,4017600,4017600,163814400,140292000,0,0.000000,2.319929,43.598050,18.877318,0.000000,20.223703,12.155834,0.004348,1.299558,0.022626,1.498634,0,5,31324829,388806,0,0.000000,49.793388,48.820126,72.284465,106.703910,1.333799,31104000,388800,107.461475,1.333819,0.000000,17.985352,"Low (2)",0.000000,0,"Low (1)",0.000000,2.076163,13.693924,0.000000
1728,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.705836,0.841826,1.799271,1.802044,5656.000000,100.000000,100.000000,99.964639,0.000010,32.410328,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,13436928,241864704,0,0,107495424,559872,27612066,398496,50.000000,0.000000,106.961557,760.615513,106.961557,1.114183,54.949866,812.066613,106.961557,0.000000,0.000000,1925.308018,106.961557,100.000000,66.666667,53747712,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,10319560704,0,5159780352,0,0,527772672,527775264,"Low (3)","Low (1)",131.578947,"High (9)",5159780352,0,3735465984,0,214990848,7312674816,459841536,0,379688256,6905088,6905088,282921984,242331264,0,0.000000,2.305126,43.168007,18.910684,0.000000,20.877362,11.953167,0.002578,1.287877,0.018757,1.476442,0,5,53968765,559878,0,0.000000,49.827586,49.070338,72.221508,106.961557,1.114183,53747712,559872,107.401467,1.114195,0.000000,10.433594,"Low (2)",0.000000,0,"Low (1)",0.000000,2.072651,13.683597,0.000000
2016,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.854077,0.842121,1.805322,1.804067,6592.000000,100.000000,100.000000,99.969660,0.000003,32.437341,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,21337344,384072192,0,0,170698752,762048,43638950,534394,50.000000,0.000000,107.502984,655.256285,107.502984,982.884427,54.966042,689.257816,107.502984,0.000000,0.000000,1935.053716,107.502984,100.000000,66.666667,85349376,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,16387080192,0,8193540096,0,0,837236736,837239328,"Low (3)","Low (1)",131.578947,"High (9)",8193540096,0,5913492480,0,341397504,11611579392,723437568,0,602146656,10922688,10922688,449100288,384707232,0,0.000000,2.302968,43.322270,18.516804,0.000000,20.913211,12.098048,0.001584,1.356669,0.015890,1.472555,0,5,85570261,762054,0,0.000000,49.852071,49.191928,72.029977,107.502984,982.884427,85349376,762048,107.781203,982.892165,0.000000,6.603516,"Low (2)",0.000000,0,"Low (1)",0.000000,2.075277,13.777216,0.000000
2304,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.865519,0.842141,1.800257,1.805747,7528.000000,100.000000,100.000000,99.973433,0.000002,32.460511,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,31850496,573308928,0,0,254803968,995328,65021956,690024,50.000000,0.000000,107.391603,572.755214,107.391603,859.132820,54.809288,595.604932,107.391603,0.000000,0.000000,1933.048847,107.391603,100.000000,66.666667,127401984,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,24461180928,0,12230590464,0,0,1248804864,1248807456,"Low (3)","Low (1)",131.578947,"High (9)",12230590464,0,8806662144,0,509607936,17331978240,1072300032,0,897953472,16257024,16257024,670187520,574138368,0,0.000000,2.315433,43.295309,19.111549,0.000000,20.501853,12.021670,0.001248,1.254433,0.013876,1.484630,0,5,127843795,995334,0,0.000000,49.870466,49.324299,71.860633,107.391603,859.132820,127401984,995328,107.764021,859.138000,0.000000,4.418945,"Low (2)",0.000000,0,"Low (1)",0.000000,2.077009,13.776804,0.000000
2592,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.890993,0.842403,1.797713,1.801839,8464.000000,100.000000,100.000000,99.976371,0.000001,32.384776,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,45349632,816293376,0,0,362797056,1259712,92955678,865704,50.000000,0.000000,107.283981,508.605539,107.283981,762.908309,54.976495,524.288706,107.283981,0.000000,0.000000,1931.111657,107.283981,100.000000,66.666667,181398528,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,34828517376,0,17414258688,0,0,1777033728,1777036320,"Low (3)","Low (1)",131.578947,"High (9)",17414258688,0,12516498432,0,725594112,24676918272,1518372864,0,1277559648,23094720,23094720,954021888,817343136,0,0.000000,2.294946,43.103554,19.069037,0.000000,20.870101,11.897419,0.000805,1.288122,0.012336,1.463681,0,5,182060873,1259718,0,0.000000,49.884793,49.260658,71.716710,107.283981,762.908309,181398528,1259712,107.675710,762.911942,0.000000,3.100586,"Low (2)",0.000000,0,"Low (1)",0.000000,2.066429,13.779873,0.000000
2880,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.919530,0.842648,1.794057,1.794293,9400.000000,100.000000,100.000000,99.978723,0.000001,32.244778,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,62208000,1119744000,0,0,497664000,1555200,127582068,1063828,50.000000,0.000000,106.544205,454.588608,106.544205,681.882913,54.627741,466.439130,106.544205,0.000000,0.000000,1917.795692,106.544205,100.000000,66.666667,248832000,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,47775744000,0,23887872000,0,0,2436480000,2436482592,"Low (3)","Low (1)",131.578947,"High (9)",23887872000,0,17144524800,0,995328000,33849446400,2073600000,0,1751416128,31622400,31622400,1308441600,1121040000,0,0.000000,2.308991,43.065171,19.013488,0.000000,21.090963,11.810003,0.000562,1.249272,0.011095,1.450455,0,5,249715407,1555206,0,0.000000,49.896266,49.132756,71.431970,106.544205,681.882913,248832000,1555200,106.922460,681.885543,0.000000,2.244141,"Low (2)",0.000000,0,"Low (1)",0.000000,2.048457,13.729072,0.000000
