128,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
128,s,s,,,,,,,,B,B,KB,GB/s,,,,
128,0.505956,9.729000e-06,,,,,,,,,,64.000000,6.273528,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
128,0.505993,9.696000e-06,,,,,,,,,,64.000000,6.294880,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
128,0.506038,4.896000e-06,8,8,1,16,16,1,10,0,0,,,"GeForce GTX 980 (0)","2","14","matSum(float*, float*, float*, int) [104]"
128,0.506053,1.340800e-05,,,,,,,,,,64.000000,4.552145,"GeForce GTX 980 (0)","2","14","[CUDA memcpy DtoH]"
256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,0.450985,4.291300e-05,,,,,,,,,,256.000000,5.689200,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
256,0.451091,4.726500e-05,,,,,,,,,,256.000000,5.165358,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
256,0.451176,1.536000e-05,16,16,1,16,16,1,10,0,0,,,"GeForce GTX 980 (0)","2","14","matSum(float*, float*, float*, int) [104]"
256,0.451193,4.707300e-05,,,,,,,,,,256.000000,5.186426,"GeForce GTX 980 (0)","2","14","[CUDA memcpy DtoH]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,0.450766,1.609950e-04,,,,,,,,,,1.000000,6.065794,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
512,0.451301,1.809000e-04,,,,,,,,,,1.000000,5.398355,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
512,0.451488,5.484900e-05,32,32,1,16,16,1,10,0,0,,,"GeForce GTX 980 (0)","2","14","matSum(float*, float*, float*, int) [104]"
512,0.451545,1.747240e-04,,,,,,,,,,1.000000,5.589172,"GeForce GTX 980 (0)","2","14","[CUDA memcpy DtoH]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,0.486231,1.265756e-03,,,,,,,,,,4.000000,3.086100,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
1024,0.487762,1.160570e-03,,,,,,,,,,4.000000,3.365803,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
1024,0.488939,2.111090e-04,64,64,1,16,16,1,10,0,0,,,"GeForce GTX 980 (0)","2","14","matSum(float*, float*, float*, int) [104]"
1024,0.489152,9.921820e-04,,,,,,,,,,4.000000,3.937030,"GeForce GTX 980 (0)","2","14","[CUDA memcpy DtoH]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,0.556404,5.267093e-03,,,,,,,,,,16.000000,2.966532,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
2048,0.561926,5.125266e-03,,,,,,,,,,16.000000,3.048622,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
2048,0.567116,7.802090e-04,128,128,1,16,16,1,10,0,0,,,"GeForce GTX 980 (0)","2","14","matSum(float*, float*, float*, int) [104]"
2048,0.567898,8.587871e-03,,,,,,,,,,16.000000,1.819426,"GeForce GTX 980 (0)","2","14","[CUDA memcpy DtoH]"
4096,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
4096,s,s,,,,,,,,B,B,MB,GB/s,,,,
4096,0.889270,0.020956,,,,,,,,,,64.000000,2.982500,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
4096,0.910467,0.020601,,,,,,,,,,64.000000,3.033800,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
4096,0.931134,3.226755e-03,256,256,1,16,16,1,10,0,0,,,"GeForce GTX 980 (0)","2","14","matSum(float*, float*, float*, int) [104]"
4096,0.934362,0.036212,,,,,,,,,,64.000000,1.725965,"GeForce GTX 980 (0)","2","14","[CUDA memcpy DtoH]"
8192,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
8192,s,s,,,,,,,,B,B,MB,GB/s,,,,
8192,2.154844,0.083497,,,,,,,,,,256.000000,2.994131,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
8192,2.238599,0.082454,,,,,,,,,,256.000000,3.031992,"GeForce GTX 980 (0)","2","14","[CUDA memcpy HtoD]"
8192,2.321120,0.017353,512,512,1,16,16,1,10,0,0,,,"GeForce GTX 980 (0)","2","14","matSum(float*, float*, float*, int) [104]"
8192,2.338475,0.147037,,,,,,,,,,256.000000,1.700254,"GeForce GTX 980 (0)","2","14","[CUDA memcpy DtoH]"
