262144,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
262144,s,s,,,,,,,,B,B,MB,GB/s,,,,
262144,0.256627,1.622980e-04,,,,,,,,,,1.000000,6.017095,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
262144,0.257128,1.830010e-04,,,,,,,,,,1.000000,5.336378,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
262144,0.257316,1.212700e-05,1024,1,1,256,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","vectorAdd(float const *, float const *, float*, int) [103]"
262144,0.257330,1.753860e-04,,,,,,,,,,1.000000,5.568076,"GeForce GTX 980 (0)","1","7","[CUDA memcpy DtoH]"
524288,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
524288,s,s,,,,,,,,B,B,MB,GB/s,,,,
524288,0.265324,5.267630e-04,,,,,,,,,,2.000000,3.707787,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
524288,0.266103,5.168760e-04,,,,,,,,,,2.000000,3.778711,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
524288,0.266625,3.833500e-05,2048,1,1,256,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","vectorAdd(float const *, float const *, float*, int) [103]"
524288,0.266665,3.260030e-04,,,,,,,,,,2.000000,5.991126,"GeForce GTX 980 (0)","1","7","[CUDA memcpy DtoH]"
1048576,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1048576,s,s,,,,,,,,B,B,MB,GB/s,,,,
1048576,0.300348,1.191184e-03,,,,,,,,,,4.000000,3.279300,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
1048576,0.301791,1.195920e-03,,,,,,,,,,4.000000,3.266314,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
1048576,0.302995,7.449300e-05,4096,1,1,256,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","vectorAdd(float const *, float const *, float*, int) [103]"
1048576,0.303072,2.126796e-03,,,,,,,,,,4.000000,1.836683,"GeForce GTX 980 (0)","1","7","[CUDA memcpy DtoH]"
2097152,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2097152,s,s,,,,,,,,B,B,MB,GB/s,,,,
2097152,0.369178,2.391422e-03,,,,,,,,,,8.000000,3.266885,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
2097152,0.371895,2.340385e-03,,,,,,,,,,8.000000,3.338126,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
2097152,0.374283,1.479300e-04,8192,1,1,256,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","vectorAdd(float const *, float const *, float*, int) [103]"
2097152,0.374433,4.448491e-03,,,,,,,,,,8.000000,1.756214,"GeForce GTX 980 (0)","1","7","[CUDA memcpy DtoH]"
4194304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
4194304,s,s,,,,,,,,B,B,MB,GB/s,,,,
4194304,0.512716,5.084170e-03,,,,,,,,,,16.000000,3.073265,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
4194304,0.518030,5.007726e-03,,,,,,,,,,16.000000,3.120179,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
4194304,0.523075,2.938760e-04,16384,1,1,256,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","vectorAdd(float const *, float const *, float*, int) [103]"
4194304,0.523370,8.256134e-03,,,,,,,,,,16.000000,1.892532,"GeForce GTX 980 (0)","1","7","[CUDA memcpy DtoH]"
8388608,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
8388608,s,s,,,,,,,,B,B,MB,GB/s,,,,
8388608,0.786734,0.010463,,,,,,,,,,32.000000,2.986611,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
8388608,0.797438,0.010021,,,,,,,,,,32.000000,3.118536,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
8388608,0.807496,5.865680e-04,32768,1,1,256,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","vectorAdd(float const *, float const *, float*, int) [103]"
8388608,0.808084,0.017196,,,,,,,,,,32.000000,1.817333,"GeForce GTX 980 (0)","1","7","[CUDA memcpy DtoH]"
16777216,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
16777216,s,s,,,,,,,,B,B,MB,GB/s,,,,
16777216,1.302567,0.020731,,,,,,,,,,64.000000,3.014830,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
16777216,1.323517,0.019887,,,,,,,,,,64.000000,3.142683,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
16777216,1.343441,1.172109e-03,65536,1,1,256,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","vectorAdd(float const *, float const *, float*, int) [103]"
16777216,1.344615,0.034803,,,,,,,,,,64.000000,1.795803,"GeForce GTX 980 (0)","1","7","[CUDA memcpy DtoH]"
33554432,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
33554432,s,s,,,,,,,,B,B,MB,GB/s,,,,
33554432,2.467930,0.040428,,,,,,,,,,128.000000,3.091879,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
33554432,2.508578,0.040379,,,,,,,,,,128.000000,3.095660,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
33554432,2.549057,2.342458e-03,131072,1,1,256,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","vectorAdd(float const *, float const *, float*, int) [103]"
33554432,2.551402,0.072206,,,,,,,,,,128.000000,1.731164,"GeForce GTX 980 (0)","1","7","[CUDA memcpy DtoH]"
67108864,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
67108864,s,s,,,,,,,,B,B,MB,GB/s,,,,
67108864,4.561302,0.081236,,,,,,,,,,256.000000,3.077459,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
67108864,4.642781,0.079902,,,,,,,,,,256.000000,3.128845,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
67108864,4.722721,4.682611e-03,262144,1,1,256,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","vectorAdd(float const *, float const *, float*, int) [103]"
67108864,4.727405,0.141951,,,,,,,,,,256.000000,1.761168,"GeForce GTX 980 (0)","1","7","[CUDA memcpy DtoH]"
134217728,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
134217728,s,s,,,,,,,,B,B,MB,GB/s,,,,
134217728,9.133363,0.160792,,,,,,,,,,512.000000,3.109612,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
134217728,9.294373,0.160542,,,,,,,,,,512.000000,3.114449,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
134217728,9.454956,9.369604e-03,524288,1,1,256,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","vectorAdd(float const *, float const *, float*, int) [103]"
134217728,9.464327,0.288363,,,,,,,,,,512.000000,1.733927,"GeForce GTX 980 (0)","1","7","[CUDA memcpy DtoH]"
