256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,0.243199,4.255800e-05,,,,,,,,,,256.000000,5.736656,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
256,0.243318,4.729400e-05,,,,,,,,,,256.000000,5.162190,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
256,0.243387,1.529220e-04,16,16,1,16,16,1,27,0,0,,,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int) [103]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,0.238244,1.624900e-04,,,,,,,,,,1.000000,6.009985,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
512,0.238674,1.863290e-04,,,,,,,,,,1.000000,5.241066,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
512,0.238865,1.160626e-03,32,32,1,16,16,1,27,0,0,,,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int) [103]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,0.253998,5.846480e-04,,,,,,,,,,2.250000,3.758271,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
768,0.254839,5.557210e-04,,,,,,,,,,2.250000,3.953901,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
768,0.255411,4.514280e-03,48,48,1,16,16,1,27,0,0,,,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int) [103]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,0.263453,1.280299e-03,,,,,,,,,,4.000000,3.051045,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
1024,0.264996,1.141170e-03,,,,,,,,,,4.000000,3.423022,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
1024,0.266150,9.193350e-03,64,64,1,16,16,1,27,0,0,,,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int) [103]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,0.271321,1.798773e-03,,,,,,,,,,6.250000,3.393155,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
1280,0.273346,1.918927e-03,,,,,,,,,,6.250000,3.180692,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
1280,0.275322,0.020238,80,80,1,16,16,1,27,0,0,,,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int) [103]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,0.291720,2.929380e-03,,,,,,,,,,9.000000,3.000315,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
1536,0.294910,2.862119e-03,,,,,,,,,,9.000000,3.070824,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
1536,0.297820,0.032341,96,96,1,16,16,1,27,0,0,,,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int) [103]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,0.317614,3.817693e-03,,,,,,,,,,12.250000,3.133539,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
1792,0.321671,3.684995e-03,,,,,,,,,,12.250000,3.246379,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
1792,0.325432,0.054790,112,112,1,16,16,1,27,0,0,,,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int) [103]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,0.340673,5.180193e-03,,,,,,,,,,16.000000,3.016297,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
2048,0.346100,5.042407e-03,,,,,,,,,,16.000000,3.098719,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
2048,0.351182,0.078338,128,128,1,16,16,1,27,0,0,,,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int) [103]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,0.367735,6.700350e-03,,,,,,,,,,20.250000,2.951397,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
2304,0.374715,6.641025e-03,,,,,,,,,,20.250000,2.977762,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
2304,0.381430,0.102558,144,144,1,16,16,1,27,0,0,,,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int) [103]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,0.397784,8.363986e-03,,,,,,,,,,25.000000,2.918951,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
2560,0.406384,8.339123e-03,,,,,,,,,,25.000000,2.927653,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
2560,0.414759,0.140261,160,160,1,16,16,1,27,0,0,,,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int) [103]"
2816,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2816,s,s,,,,,,,,B,B,MB,GB/s,,,,
2816,0.465063,9.875789e-03,,,,,,,,,,30.250000,2.991256,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
2816,0.475239,9.497502e-03,,,,,,,,,,30.250000,3.110398,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
2816,0.484792,0.192129,176,176,1,16,16,1,27,0,0,,,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int) [103]"
3072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3072,s,s,,,,,,,,B,B,MB,GB/s,,,,
3072,0.471615,0.011457,,,,,,,,,,36.000000,3.068668,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
