256,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,4310,9048,4096,4097,2048,2048,2048,2048,2140,4998,2544,2136,2048,2048,2048,2048,513072,509044,485456,501488,456944,473568,502892,245624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491912,508473,494433,505812,2048,2048,2054,2048,3696402,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,65536,6088704,4673692,1340841,194838528,0,0,0,0,1048576,2048,3396657,188092418,256,194641920,0,0,0,0,1065942,506922,0,4096,0,0,524288,2048,0,0,0,0,2071551,4196,0,0
512,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,193908,184160,16384,16384,8192,8192,8192,8193,96546,91871,96369,96100,8192,8192,8192,4096,5505652,5389984,5564332,5576524,5488976,5612560,5419568,5346816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5474764,5455216,5533204,5495123,8192,8193,8193,8197,29366309,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,262144,48472064,39698381,10671713,1551106048,0,0,0,0,8388608,8192,28721169,1709512116,1024,1550319616,0,0,0,0,7197258,5385654,0,16384,0,0,4194304,8192,0,0,0,0,18307987,16987,0,0
768,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,1793746,1744277,36864,36865,18432,18432,18433,18432,895366,863496,912248,903041,18432,18432,18432,18432,18081316,14179476,14969040,19174876,14777504,16724276,10459052,16862164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17795440,14204647,18321772,17008173,18432,18436,18432,18436,91911376,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18432,589824,163325952,129645102,35774310,5226430464,0,0,0,0,28311552,18432,90720598,5574365168,2304,5224660992,0,0,0,0,25019517,17447811,0,36864,0,0,14155776,18432,0,0,0,0,61567498,37417,0,0
1024,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,5125055,5151785,65537,65537,32769,32768,32768,32768,2563818,2576296,2546228,2522193,32768,32768,32768,32768,29529992,39159900,32468100,33105764,30686480,30727932,29544032,33496632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,39986988,33890748,32549305,32813192,32768,32769,32773,33008,215409827,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,386826240,304151256,84401077,12378439680,0,0,0,0,67108864,32768,214421479,13430181606,4096,12375293952,0,0,0,0,68204849,32458447,0,65536,0,0,33554432,32768,0,0,0,0,139239575,67439,0,0
1280,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,13700362,15184408,102400,102400,51200,51201,51201,51200,6849006,7609808,7628084,7591084,51200,51200,51200,51200,48772056,86686220,94664300,83769504,83709632,83458304,80788336,88748828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,88683316,95311313,95911809,86723345,51200,51200,51200,51204,467147357,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200,1638400,755148800,634671198,165823076,24164761600,0,0,0,0,131072000,51200,465852113,28535255714,6400,24159846400,0,0,0,0,100382954,96225046,0,102400,0,0,65536000,51200,0,0,0,0,294680763,104495,0,0
1536,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,36073830,31962700,147608,147456,73804,73729,73728,73729,18089754,15919654,16043113,17701120,73728,73728,73728,73728,168061480,169263440,158710672,165302396,146825080,139713988,148114124,140087712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,170549717,155412835,157763020,171380508,73730,73729,73730,36868,844181355,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73728,2359296,1304469504,1104716065,286676523,41743024128,0,0,0,0,226492416,73728,842956612,51201115114,9216,41735946240,0,0,0,0,180140937,159597687,0,147456,0,0,113246208,73728,0,0,0,0,518705242,150866,0,0
1792,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,70164019,71429720,200705,200704,100353,100352,100353,100352,35089578,35665219,31767972,34396684,100352,100416,100352,100352,275614464,271811412,272363212,281894788,243223864,242684524,241782992,238313576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,272112577,275344761,273366969,277493536,100353,100352,100353,100354,1356480324,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100352,3211264,2070964224,1759957915,454800115,66270855168,0,0,0,0,359661568,100352,1353571151,82463412566,12544,66261221376,0,0,0,0,266362572,273129780,0,200704,0,0,179830784,100352,0,0,0,0,824569168,204483,0,0
2048,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,83360995,90927745,262145,262265,131073,131128,131073,131072,41696974,45397892,41631244,45389116,131072,131072,131072,131072,425070464,427643684,427631460,426642264,378047580,389790048,376162992,378892456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,430726927,423832389,430284515,414604063,131073,131076,131077,131072,2045688230,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,3090808832,2658603969,677370331,98905882624,0,0,0,0,536870912,131072,2043442901,126071439420,16384,98893299712,0,0,0,0,388182893,417123475,0,262144,0,0,268435456,131072,0,0,0,0,1265240811,267344,0,0
2304,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,210899135,217472196,331777,331776,165889,165889,165888,165888,105408402,108624380,105466804,105258833,165888,165888,165888,165888,613625596,617511876,612230468,613237628,256543376,507332212,514212516,510509116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,599716739,598277740,609654604,612131228,165888,165912,165889,165888,2936932334,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165888,5308416,4400179200,3767987104,966000041,140805734400,0,0,0,0,764411904,165888,2934254573,178974615004,20736,140789809152,0,0,0,0,534527495,612090361,0,331776,0,0,382205952,165888,0,0,0,0,1763952536,337609,0,0
2560,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,312815655,322861373,409601,409601,204800,204800,204801,204801,156353295,161205768,146606608,156993580,204800,204808,204800,204800,858552336,852261392,850380892,848903704,700085872,345755872,693530016,685690220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,855675600,846871039,853738451,844269021,204802,204804,204800,204801,4038170807,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204800,6553600,6035251200,5168931305,1323931625,193128038400,0,0,0,0,1048576000,204800,4033559468,247316936210,25600,193108377600,0,0,0,0,740671171,832192829,0,409600,0,0,524288000,204800,0,0,0,0,2421597100,415735,0,0
2816,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,472021898,472486741,495616,495617,247808,247808,247809,247808,236010062,236178840,241009528,240960549,247808,247808,247808,247808,1148236972,1137987124,1142511660,1138226076,900834100,899471972,898077112,901455100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1138746247,1150638601,1141981643,1123332891,247809,247810,247809,247813,5402720076,0,0,44660948992,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247808,7929856,8032200704,6897742046,1762604797,257030422528,0,0,0,0,1395654656,247808,5400448819,330474100724,30976,257006632960,0,0,0,0,951368011,1142113973,0,495616,0,0,697827328,247808,0,0,0,0,3207514360,501749,0,0
3072,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,619756050,617045968,589824,589824,294912,294912,294912,294916,309851378,308098883,308776792,309320252,294912,294912,294912,294912,1501900956,1508420364,1513969680,1504799424,1200932392,1216250188,1205265856,1197425896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1507768617,1524946044,1492775459,1509435507,294912,147457,294913,294913,7096057312,0,0,57982058496,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294912,9437184,10427203584,9010608625,2287047835,333670514688,0,0,0,0,1811939328,294912,7093700614,435655899438,36864,333642203136,0,0,0,0,1204737460,1513171532,0,589824,0,0,905969664,294912,0,0,0,0,4224771789,599897,0,0
3328,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,917392653,919285981,692225,692225,346113,346112,346112,346113,458713858,459448908,460124285,461097764,346112,346112,346112,346112,1915187556,1924218856,1911178040,1924905944,1472155800,1462350608,1471169228,1466188416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1928684143,1918940853,1926756535,1915865249,346114,346112,346116,346113,9061543597,0,0,73719087104,0,0,0,0,11075584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346112,11075584,13256435712,11428355246,2908134149,"<OVERFLOW>",0,0,0,0,2303721472,346112,9055107126,555874799118,43264,"<OVERFLOW>",0,0,0,0,1535587959,1919994249,0,692224,0,0,1151860736,346112,0,0,0,0,5322304381,699561,0,0
3584,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,1174345223,1179062412,802817,802816,401408,401409,401409,401409,587254803,589236260,556692148,590935400,401408,401408,200704,401408,2415737848,2425612088,2412029672,2401887340,1825759820,1826607096,1822006812,1812373036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2412617648,2416473012,2394568024,2410240360,401412,401412,401412,401409,11294568395,0,0,92073361408,0,0,0,0,12845056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401408,12845056,16556072960,14282168503,3630176535,"<OVERFLOW>",0,0,0,0,2877292544,401408,11289335580,695214167826,50176,"<OVERFLOW>",0,0,0,0,1944005292,2371933524,0,802816,0,0,1438646272,401408,0,0,0,0,6647873651,811569,0,0
3840,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,1558693878,1553008765,921600,921601,460800,460800,460800,460800,778889926,775774680,778982400,779938277,230400,460800,460800,460800,2993524520,2993356100,2979086132,2985185300,2214868368,2200495480,2208519604,2200012464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2990932296,2981582495,2989558788,2969753608,460800,460800,460800,460801,13982184153,0,0,113246208000,0,0,0,0,14745600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460800,14745600,20362291200,17586936003,4464878427,"<OVERFLOW>",0,0,0,0,3538944000,460800,13976711418,859898329408,57600,"<OVERFLOW>",0,0,0,0,2325089306,2983326694,0,921600,0,0,1769472000,460800,0,0,0,0,8211967245,932025,0,0
4096,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,1708699563,1744198540,1048577,1048576,524288,524288,524289,524288,854533475,871679235,854462456,875173857,524288,524288,524288,524288,3587364252,3567078764,3511351348,3550769108,2702491460,2690785952,2692394120,2685088196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3537477064,3570952188,3534441607,3561735927,524288,524292,524289,524288,16718392964,0,0,137438953472,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,16777216,24711266304,21336092132,5415774754,"<OVERFLOW>",0,0,0,0,4294967296,524288,16715711792,1029635791730,65536,"<OVERFLOW>",0,0,0,0,2905028429,3537422515,0,1048576,0,0,2147483648,524288,0,0,0,0,10001006287,1064864,0,0
4352,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,2492392414,2492183756,1183744,1183744,591872,591873,591872,591872,1246127398,1245870760,1246080649,1251077205,591872,591872,591872,591872,4393070320,4393984096,4397164220,4385991796,3162346956,3135851016,3137789312,3141849820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4402811060,4402855695,2149074216,4388792236,591872,591876,591872,591876,20479068850,0,0,164852924416,0,0,0,0,18939904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591872,18939904,29639174144,25637936644,6497309756,"<OVERFLOW>",0,0,0,0,5151653888,591872,20473980862,1261797520746,73984,"<OVERFLOW>",0,0,0,0,3350415937,4377064895,0,1183744,0,0,2575826944,591872,0,0,0,0,11936578939,1195248,0,0
