256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,0.362656,4.518500e-05,,,,,,,,,,256.000000,5.403134,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
256,0.362773,4.505700e-05,,,,,,,,,,256.000000,5.418484,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
256,0.362838,5.798180e-04,32,32,1,8,8,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,0.362524,1.729480e-04,,,,,,,,,,1.000000,5.646567,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
512,0.362885,1.724040e-04,,,,,,,,,,1.000000,5.664384,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
512,0.363063,4.454009e-03,64,64,1,8,8,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,0.339207,3.911120e-04,,,,,,,,,,2.250000,5.617996,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
768,0.339723,3.912080e-04,,,,,,,,,,2.250000,5.616617,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
768,0.340120,0.014977,96,96,1,8,8,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,0.343939,6.916590e-04,,,,,,,,,,4.000000,5.647653,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1024,0.344748,6.917880e-04,,,,,,,,,,4.000000,5.646600,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1024,0.345445,0.035165,128,128,1,8,8,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,0.379565,1.083858e-03,,,,,,,,,,6.250000,5.631287,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1280,0.380781,1.082450e-03,,,,,,,,,,6.250000,5.638612,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1280,0.381869,0.068558,160,160,1,8,8,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,0.379774,1.557081e-03,,,,,,,,,,9.000000,5.644576,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1536,0.381450,1.556313e-03,,,,,,,,,,9.000000,5.647362,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1536,0.383011,0.118748,192,192,1,8,8,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,0.426623,2.121697e-03,,,,,,,,,,12.250000,5.638360,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1792,0.428909,2.121857e-03,,,,,,,,,,12.250000,5.637934,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1792,0.431036,0.187753,224,224,1,8,8,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,0.431833,2.776522e-03,,,,,,,,,,16.000000,5.627544,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2048,0.434758,2.768266e-03,,,,,,,,,,16.000000,5.644328,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2048,0.437531,0.280167,256,256,1,8,8,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,0.448479,3.506038e-03,,,,,,,,,,20.250000,5.640381,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2304,0.452127,3.505398e-03,,,,,,,,,,20.250000,5.641411,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2304,0.455638,0.399085,288,288,1,8,8,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,0.482648,4.325601e-03,,,,,,,,,,25.000000,5.644086,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2560,0.487135,4.333952e-03,,,,,,,,,,25.000000,5.633210,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2560,0.491474,0.547022,320,320,1,8,8,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2816,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2816,s,s,,,,,,,,B,B,MB,GB/s,,,,
2816,0.503649,5.241325e-03,,,,,,,,,,30.250000,5.636173,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2816,0.509052,5.239182e-03,,,,,,,,,,30.250000,5.638479,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2816,0.514296,0.728159,352,352,1,8,8,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
3072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3072,s,s,,,,,,,,B,B,MB,GB/s,,,,
3072,0.460167,6.227838e-03,,,,,,,,,,36.000000,5.645017,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
3072,0.466509,6.227774e-03,,,,,,,,,,36.000000,5.645075,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
