512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,0.332168,1.728670e-04,,,,,,,,,,1.000000,5.649213,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
512,0.332463,1.727390e-04,,,,,,,,,,1.000000,5.653399,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
512,0.332641,3.144335e-03,32,32,1,16,16,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int, int) [192]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,0.349269,6.916900e-04,,,,,,,,,,4.000000,5.647400,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1024,0.350076,6.917860e-04,,,,,,,,,,4.000000,5.646616,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1024,0.350773,0.024744,64,64,1,16,16,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int, int) [192]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,0.387735,2.768134e-03,,,,,,,,,,16.000000,5.644597,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2048,0.390624,2.767718e-03,,,,,,,,,,16.000000,5.645445,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2048,0.393398,0.196414,128,128,1,16,16,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int, int) [192]"
4096,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
4096,s,s,,,,,,,,B,B,MB,GB/s,,,,
4096,0.595237,0.011179,,,,,,,,,,64.000000,5.590784,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
4096,0.606573,0.011195,,,,,,,,,,64.000000,5.582602,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
4096,0.617774,1.570181,256,256,1,16,16,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int, int) [192]"
8192,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
8192,s,s,,,,,,,,B,B,MB,GB/s,,,,
8192,1.303800,0.044327,,,,,,,,,,256.000000,5.639853,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
8192,1.348260,0.044376,,,,,,,,,,256.000000,5.633708,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
8192,1.392640,14.020597,512,512,1,16,16,1,17,0,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int, int) [192]"
