256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,1.403797,4.576100e-05,,,,,,,,,,256.000000,5.335124,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
256,1.403886,4.582500e-05,,,,,,,,,,256.000000,5.327673,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
256,1.403938,3.043570e-04,32,32,1,8,8,1,23,512,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,1.337854,1.733790e-04,,,,,,,,,,1.000000,5.632530,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
512,1.338134,1.733790e-04,,,,,,,,,,1.000000,5.632530,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
512,1.338314,2.353192e-03,64,64,1,8,8,1,23,512,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,1.396030,3.939590e-04,,,,,,,,,,2.250000,5.577397,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
768,1.396553,3.928700e-04,,,,,,,,,,2.250000,5.592857,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
768,1.396953,8.126401e-03,96,96,1,8,8,1,23,512,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,1.420359,6.946990e-04,,,,,,,,,,4.000000,5.622939,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1024,1.421193,6.949870e-04,,,,,,,,,,4.000000,5.620609,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1024,1.421894,0.019213,128,128,1,8,8,1,23,512,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,1.431257,1.095793e-03,,,,,,,,,,6.250000,5.569953,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1280,1.432473,1.089425e-03,,,,,,,,,,6.250000,5.602511,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1280,1.433569,0.037681,160,160,1,8,8,1,23,512,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,1.453752,1.562871e-03,,,,,,,,,,9.000000,5.623665,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1536,1.455433,1.562455e-03,,,,,,,,,,9.000000,5.625162,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1536,1.457002,0.064618,192,192,1,8,8,1,23,512,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,1.445335,2.131007e-03,,,,,,,,,,12.250000,5.613727,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1792,1.447581,2.130879e-03,,,,,,,,,,12.250000,5.614064,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
1792,1.449719,0.103386,224,224,1,8,8,1,23,512,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,1.463205,2.778248e-03,,,,,,,,,,16.000000,5.624048,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2048,1.466096,2.778632e-03,,,,,,,,,,16.000000,5.623271,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2048,1.468881,0.153420,256,256,1,8,8,1,23,512,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,1.523101,3.518385e-03,,,,,,,,,,20.250000,5.620587,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2304,1.526734,3.518513e-03,,,,,,,,,,20.250000,5.620383,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2304,1.530259,0.213891,288,288,1,8,8,1,23,512,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,1.509370,4.348668e-03,,,,,,,,,,25.000000,5.614147,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2560,1.513837,4.344316e-03,,,,,,,,,,25.000000,5.619771,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2560,1.518188,0.283272,320,320,1,8,8,1,23,512,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
2816,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2816,s,s,,,,,,,,B,B,MB,GB/s,,,,
2816,1.585923,5.260295e-03,,,,,,,,,,30.250000,5.615848,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2816,1.591307,5.260230e-03,,,,,,,,,,30.250000,5.615917,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
2816,1.596574,0.351338,352,352,1,8,8,1,23,512,0,,,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int) [190]"
3072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3072,s,s,,,,,,,,B,B,MB,GB/s,,,,
3072,1.547824,6.258228e-03,,,,,,,,,,36.000000,5.617605,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
3072,1.554194,6.258196e-03,,,,,,,,,,36.000000,5.617633,"Quadro K5200 (1)","1","7","[CUDA memcpy HtoD]"
