256,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,97.828037,0.600903,0.460688,20.707633,220.881422,97.828037,0.600903,0.749393,0.000000,0.605113,0.000000,0.000000,0.000000,275.265924,864.705472,441.762845,124.245800,0.000000,0.000000,16.666667,50.000000,99.897003,0.000000,124.245800,0.000000,0.000000,100.000000,0.000000,1.049586,2973.000000,24.002538,0.000000,0.000000,0.000000,0.000000,4.500000,8.000000,0,0,0,0,4718592,16384,0,11,0,10209,32070,4719085,16386,0.000000,0.000000,0.000000,0.000000,124.258782,441.816772,0.000000,303.711914,99.899092,376570,270336,4879818,1050624,33554432,0,0,16777216,0,0,0,0,0,2.287791,12.552508,14.558332,0.000000,0.000000,0.499095,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (3)","Low (1)","Idle (0)",6088704,10651536,9743432,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216,0,126484480,0,8454144,33619968,9306112,0,0.000000,0,0.000000,4718592,16384,0,441.762845,0,21211,571.913557,16.605658,0.057659,0.842454,0.000000,28.472264,24.966691,7.653753,0.000000
512,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,98.964936,0.617328,0.490459,21.757422,116.039582,98.964936,0.617328,0.752773,0.000000,0.606895,0.000000,0.000000,0.000000,0.981641,233.297355,232.079165,130.544531,0.000000,0.000000,16.666667,50.000000,99.590720,0.000000,130.544531,0.000000,0.001047,100.000000,0.000000,1.081297,5917.000000,24.742404,0.000000,0.000000,0.000000,0.000000,4.500000,8.000000,0,0,0,0,37748736,65536,0,16,0,283855,65880,37749450,65744,0.000000,0.000000,0.000000,0.000000,130.547000,232.815744,0.000000,58.019531,99.949299,2978138,2129920,39068475,8396800,268435456,0,0,134217728,0,0,0,0,0,2.191373,11.996738,14.227341,0.000000,0.000000,0.494618,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (3)","Low (1)","Idle (0)",48472064,84960503,77763163,0.000000,0,0.000000,0.000000,0.000000,0.000000,134217728,0,1009254400,0,67371008,268697600,70778880,0,0.000000,0,0.000000,37748736,65932,0,233.481500,0,174575,618.213202,17.274642,0.004555,0.880523,0.000000,27.723028,26.087704,8.497251,0.000000
768,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.759926,0.604626,0.491936,21.408509,76.119142,99.759926,0.604626,0.774827,0.000000,0.607494,0.000000,0.000000,0.000000,13.100948,155.638082,152.238283,128.451052,0.000000,0.000000,16.666667,50.000000,95.002322,0.000000,128.451052,0.000000,0.000220,100.000000,0.000000,1.072905,8861.000000,24.584868,0.000000,0.000000,0.000000,0.000000,4.500000,8.000000,0,0,0,0,127401984,147456,0,0,0,12993952,150749,127413725,149664,0.000000,0.000000,0.000000,0.000000,128.462889,154.517893,0.000000,0.000000,99.966144,9991703,7151616,135789146,28329984,905969664,0,0,452984832,0,0,0,0,0,2.128868,11.649244,13.919534,0.000000,0.000000,0.476549,"Low (1)","Mid (4)","Idle (0)","Low (1)","Idle (0)","Mid (6)","Low (3)","Low (1)","Idle (0)",163325952,289875384,265674906,0.000000,0,0.000000,0.000000,0.000000,0.000000,452984832,0,3403284480,0,227082240,906559488,234749952,0,0.000000,0,0.000000,127401984,147736,0,152.527364,0,6643123,6.697825,17.470044,0.001319,0.870512,0.000000,28.283328,26.071114,8.519827,0.000000
1024,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.907575,0.603390,0.491615,21.436186,57.163161,99.907575,0.603390,0.779763,0.000000,0.607793,0.000000,0.000000,0.000000,13.865898,120.431134,114.326323,128.617113,0.000000,0.000000,16.666667,50.000000,94.613268,0.000000,128.617113,0.000000,0.000000,100.000000,0.000000,1.074089,11805.000000,24.616896,0.000000,0.000000,0.000000,0.000000,4.500000,8.000000,0,0,0,0,301989888,262144,0,6,0,32556796,276142,302014005,272105,0.000000,0.000000,0.000000,0.000000,128.627385,118.670517,0.000000,2.678711,99.974587,23681904,16908288,322749463,67141632,2147483648,0,0,1073741824,0,0,0,0,0,2.120974,11.649971,14.057720,0.000000,0.000000,0.476712,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (3)","Low (1)","Idle (0)",386826240,688459026,631125434,0.000000,0,0.000000,0.000000,0.000000,0.000000,1073741824,0,8063549440,0,537919488,2148532224,551550976,0,0.000000,0,0.000000,301989888,262144,0,114.326323,0,16411147,6.989487,17.377114,0.000554,0.871454,0.000000,28.401483,25.915471,8.475678,0.000000
1280,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.858228,0.603432,0.496901,21.440200,45.739093,99.858228,0.603432,0.780461,0.000000,0.607973,0.000000,0.000000,0.000000,14.228720,92.511113,91.478187,128.641201,0.000000,0.000000,16.666667,50.000000,94.477568,0.000000,128.641201,0.000000,0.000000,100.000000,0.000000,1.074229,14749.000000,24.622308,0.000000,0.000000,0.000000,0.000000,4.500000,8.000000,0,0,0,0,589824000,409600,0,4,0,65239135,414225,560376683,412372,0.000000,0.000000,0.000000,0.000000,122.218711,92.097272,0.000000,936.000000,99.979660,46099047,32972800,631271149,131123200,4194304000,0,0,2097152000,0,0,0,0,0,2.097457,11.489801,13.835760,0.000000,0.000000,0.472977,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (3)","Low (1)","Idle (0)",755148800,1344512830,1232713590,0.000000,0,0.000000,0.000000,0.000000,0.000000,2097152000,0,15745024000,0,1050214400,4195942400,1071513600,0,0.000000,0,0.000000,589824000,409600,0,91.478187,0,32844129,7.163337,17.611726,0.000279,0.871601,0.000000,28.167446,26.324554,8.687125,0.000000
1536,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.938085,0.602722,0.493404,21.439465,38.114604,99.938085,0.602722,0.783007,0.000000,0.608094,0.000000,0.000000,0.000000,14.535510,87.443543,76.229208,128.636789,0.000000,0.000000,16.666667,50.000000,94.357785,0.000000,128.636789,0.000000,0.000022,100.000000,0.000000,1.074626,17693.000000,24.633085,0.000000,0.000000,0.000000,0.000000,4.500000,8.000000,0,0,0,0,1019215872,589824,0,9,0,115167851,676595,1019300262,643621,0.000000,0.000000,0.000000,0.000000,128.647440,83.181964,0.000000,1.190430,99.983044,79820560,56918016,1092465004,226566144,7247757312,0,0,3623878656,0,0,0,0,0,2.104843,11.580256,14.073394,0.000000,0.000000,0.475784,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (3)","Low (1)","Idle (0)",1304469504,2325845967,2132564633,0.000000,0,0.000000,0.000000,0.000000,0.000000,3623878656,0,27202682880,0,1814298624,7250116608,1844969472,0,0.000000,0,0.000000,1019215872,590048,0,76.258158,0,57887415,7.306059,17.406846,0.000163,0.871525,0.000000,28.374970,25.983745,8.537318,0.000000
1792,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.958931,0.602647,0.495547,21.444481,32.677303,99.958931,0.602647,0.783490,0.000000,0.608179,0.000000,0.000000,0.000000,14.466833,70.297379,65.354607,128.666884,0.000000,0.000000,16.666667,50.000000,94.385133,0.000000,128.666884,0.000000,0.000000,100.000000,0.000000,1.074841,20637.000000,24.638862,0.000000,0.000000,0.000000,0.000000,4.500000,8.000000,0,0,0,0,1618477056,802816,0,4,0,181975631,863533,1618592863,794514,0.000000,0.000000,0.000000,0.000000,128.676090,64.678768,0.000000,341.000000,99.985463,126689562,90316800,1735624502,359761920,11509170176,0,0,5754585088,0,0,0,0,0,2.094086,11.529935,14.037759,0.000000,0.000000,0.475313,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (3)","Low (1)","Idle (0)",2070964224,3693597841,3386772069,0.000000,0,0.000000,0.000000,0.000000,0.000000,5754585088,0,43191500800,0,2880503808,11512381440,2922250240,0,0.000000,0,0.000000,1618477056,802816,0,65.354607,0,91411360,7.267088,17.474504,0.000159,0.871824,0.000000,28.304240,26.084004,8.597027,0.000000
2048,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.947723,0.602861,0.496367,21.456926,28.609235,99.947723,0.602861,0.783110,0.000000,0.608244,0.000000,0.000000,0.000000,14.482195,59.808311,57.218471,128.741559,0.000000,0.000000,16.666667,50.000000,94.369237,0.000000,128.741559,0.000000,0.000005,100.000000,0.000000,1.074861,23581.000000,24.639724,0.000000,0.000000,0.000000,0.000000,4.500000,8.000000,0,0,0,0,2415919104,1048576,0,1,0,271767813,1096037,2416085616,1098268,0.000000,0.000000,0.000000,0.000000,128.750432,59.930053,0.000000,57.000000,99.987278,188902773,134742016,2589452720,537001984,17179869184,0,0,8589934592,0,0,0,0,0,2.092914,11.508467,13.986947,0.000000,0.000000,0.474595,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (3)","Low (1)","Idle (0)",3090808832,5511251260,5053525263,0.000000,0,0.000000,0.000000,0.000000,0.000000,8589934592,0,64466452480,0,4299161600,17184063488,4353687552,0,0.000000,0,0.000000,2415919104,1048704,0,57.225455,0,136080605,7.251579,17.534326,0.000068,0.872097,0.000000,28.249959,26.152724,8.631156,0.000000
2304,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.955058,0.602194,0.495025,21.438961,25.409138,99.955058,0.602194,0.784862,0.000000,0.608294,0.000000,0.000000,0.000000,14.925719,63.637264,50.818276,128.633764,0.000000,0.000000,16.666667,50.000000,94.208870,0.000000,128.633764,0.000000,0.000000,100.000000,0.000000,1.074820,26525.000000,24.639908,0.000000,0.000000,0.000000,0.000000,4.500000,8.000000,0,0,0,0,3439853568,1327104,0,14,0,399135394,1661868,3440097782,1545844,0.000000,0.000000,0.000000,0.000000,128.642897,59.194403,0.000000,562.000000,99.988690,269235586,191766528,3691551261,764577792,24461180928,0,0,12230590464,0,0,0,0,0,2.093557,11.535581,14.102085,0.000000,0.000000,0.475624,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (3)","Low (1)","Idle (0)",4400179200,7853870706,7201898237,0.000000,0,0.000000,0.000000,0.000000,0.000000,12230590464,0,91782512640,0,6120603648,24466489344,6189613056,0,0.000000,0,0.000000,3439853568,1327104,0,50.818276,0,200130573,7.483908,17.438369,0.000074,0.871371,0.000000,28.339482,26.015229,8.572486,0.000000
2560,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.960481,0.602659,0.497732,21.456435,22.886863,99.960481,0.602659,0.783859,0.000000,0.608334,0.000000,0.000000,0.000000,14.775024,48.933019,45.773726,128.738607,0.000000,0.000000,16.666667,50.000000,89.553568,0.000000,128.738607,0.000000,0.000000,100.000000,0.000000,1.075005,29469.000000,24.643816,0.000000,0.000000,0.000000,0.000000,4.500000,8.000000,0,0,0,0,4718592000,1638400,0,4,0,541541591,1751482,4718910025,1700731,0.000000,0.000000,0.000000,0.000000,128.747284,47.515134,0.000000,117.000000,99.989820,368957357,262963200,5059379868,1048780800,33554432000,0,0,16777216000,0,0,0,0,0,2.085971,11.474734,14.021811,0.000000,0.000000,0.474787,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (3)","Low (1)","Idle (0)",6035251200,10766036865,9872174790,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216000,0,125894656000,0,8395161600,33560985600,8480358400,0,0.000000,0,0.000000,4718592000,1638400,0,45.773726,0,271660041,7.411774,17.553465,0.000035,0.872158,0.000000,28.188423,26.200773,8.668968,0.000000
