128,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
128,s,s,,,,,,,,B,B,KB,GB/s,,,,
128,5.228889,1.251200e-05,,,,,,,,,,65.536000,5.237852,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
128,5.228941,1.251200e-05,,,,,,,,,,65.536000,5.237852,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
128,5.229010,6.812900e-05,8,8,1,16,16,1,17,0,0,,,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int) [366]"
128,5.229083,1.235300e-05,,,,,,,,,,65.536000,5.305270,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,5.120795,4.444900e-05,,,,,,,,,,262.144000,5.897635,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
256,5.120927,4.425700e-05,,,,,,,,,,262.144000,5.923221,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
256,5.121002,4.368740e-04,16,16,1,16,16,1,17,0,0,,,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int) [366]"
256,5.121443,4.153700e-05,,,,,,,,,,262.144000,6.311096,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,5.226358,1.705960e-04,,,,,,,,,,1.048576,6.146545,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
512,5.226833,1.707570e-04,,,,,,,,,,1.048576,6.140750,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
512,5.227011,3.271054e-03,32,32,1,16,16,1,17,0,0,,,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int) [366]"
512,5.230286,1.584040e-04,,,,,,,,,,1.048576,6.619631,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,5.281677,1.048729e-03,,,,,,,,,,4.194304,3.999416,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
1024,5.283025,1.068922e-03,,,,,,,,,,4.194304,3.923863,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
1024,5.284100,0.025921,64,64,1,16,16,1,17,0,0,,,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int) [366]"
1024,5.310026,8.954770e-04,,,,,,,,,,4.194304,4.683877,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,5.409009,4.618539e-03,,,,,,,,,,16.777216,3.632581,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
2048,5.413929,4.593514e-03,,,,,,,,,,16.777216,3.652371,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
2048,5.418529,0.206828,128,128,1,16,16,1,17,0,0,,,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int) [366]"
2048,5.625361,6.177263e-03,,,,,,,,,,16.777216,2.715963,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
4096,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
4096,s,s,,,,,,,,B,B,MB,GB/s,,,,
4096,5.613362,0.018336,,,,,,,,,,67.108864,3.659977,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
4096,5.631992,0.018336,,,,,,,,,,67.108864,3.660010,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
4096,5.650334,1.654545,256,256,1,16,16,1,17,0,0,,,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int) [366]"
4096,7.304884,0.027269,,,,,,,,,,67.108864,2.460983,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
8192,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
8192,s,s,,,,,,,,B,B,MB,GB/s,,,,
8192,6.707827,0.074344,,,,,,,,,,268.435456,3.610745,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
8192,6.782920,0.074972,,,,,,,,,,268.435456,3.580496,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
8192,6.857898,13.271791,512,512,1,16,16,1,17,0,0,,,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int) [366]"
8192,20.129694,0.112047,,,,,,,,,,268.435456,2.395743,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
