13107200,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
13107200,s,s,,,,,,,,B,KB,KB,GB/s,,,,
13107200,5.801306,8.710600e-05,,,,,,,,,,524.288000,6.018965,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
13107200,5.801399,1.024990e-04,32,1,1,128,1,1,24,1.639200e+04,0.000000,,,"Tesla K20c (0)","2","14","subSeqMax(int*, int*, int, int) [364]"
13107200,5.801506,2.624000e-06,,,,,,,,,,2.560000,0.975610,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
26214400,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
26214400,s,s,,,,,,,,B,KB,MB,GB/s,,,,
26214400,5.802729,1.696350e-04,,,,,,,,,,1.048576,6.181366,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
26214400,5.802905,1.711710e-04,32,1,1,128,1,1,24,1.639200e+04,0.000000,,,"Tesla K20c (0)","2","14","subSeqMax(int*, int*, int, int) [364]"
26214400,5.803080,2.624000e-06,,,,,,,,,,2.560000e-03,0.975610,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
52428800,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
52428800,s,s,,,,,,,,B,KB,MB,GB/s,,,,
52428800,5.678065,6.911210e-04,,,,,,,,,,2.097152,3.034421,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
52428800,5.678763,3.389520e-04,32,1,1,128,1,1,24,1.639200e+04,0.000000,,,"Tesla K20c (0)","2","14","subSeqMax(int*, int*, int, int) [364]"
52428800,5.679106,2.816000e-06,,,,,,,,,,2.560000e-03,0.909091,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
104857600,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
104857600,s,s,,,,,,,,B,KB,MB,GB/s,,,,
104857600,6.185561,1.758120e-03,,,,,,,,,,4.194304,2.385676,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
104857600,6.187326,6.606550e-04,32,1,1,128,1,1,24,1.639200e+04,0.000000,,,"Tesla K20c (0)","2","14","subSeqMax(int*, int*, int, int) [364]"
104857600,6.187994,2.976000e-06,,,,,,,,,,2.560000e-03,0.860215,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
209715200,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
209715200,s,s,,,,,,,,B,KB,MB,GB/s,,,,
209715200,6.275420,8.102807e-03,,,,,,,,,,8.388608,1.035272,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
209715200,6.283529,1.289981e-03,32,1,1,128,1,1,24,1.639200e+04,0.000000,,,"Tesla K20c (0)","2","14","subSeqMax(int*, int*, int, int) [364]"
209715200,6.284824,3.136000e-06,,,,,,,,,,2.560000e-03,0.816327,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
419430400,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
419430400,s,s,,,,,,,,B,KB,MB,MB/s,,,,
419430400,5.848330,0.017151,,,,,,,,,,16.777216,978.220145,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
419430400,5.865487,2.546074e-03,32,1,1,128,1,1,24,1.639200e+04,0.000000,,,"Tesla K20c (0)","2","14","subSeqMax(int*, int*, int, int) [364]"
419430400,5.868038,3.136000e-06,,,,,,,,,,2.560000e-03,816.326531,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
838860800,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
838860800,s,s,,,,,,,,B,KB,MB,GB/s,,,,
838860800,6.623516,0.010242,,,,,,,,,,33.554432,3.276132,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
838860800,6.633765,5.053203e-03,32,1,1,128,1,1,24,1.639200e+04,0.000000,,,"Tesla K20c (0)","2","14","subSeqMax(int*, int*, int, int) [364]"
838860800,6.638823,3.168000e-06,,,,,,,,,,2.560000e-03,0.808081,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
1677721600,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1677721600,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1677721600,6.126246,0.020392,,,,,,,,,,67.108864,3.290880,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
1677721600,6.146645,0.010076,32,1,1,128,1,1,24,1.639200e+04,0.000000,,,"Tesla K20c (0)","2","14","subSeqMax(int*, int*, int, int) [364]"
1677721600,6.156725,2.976000e-06,,,,,,,,,,2.560000e-03,0.860215,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
3355443200,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3355443200,s,s,,,,,,,,B,KB,MB,GB/s,,,,
3355443200,6.267073,0.041049,,,,,,,,,,134.217728,3.269680,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
3355443200,6.308130,0.020134,32,1,1,128,1,1,24,1.639200e+04,0.000000,,,"Tesla K20c (0)","2","14","subSeqMax(int*, int*, int, int) [364]"
3355443200,6.328268,3.168000e-06,,,,,,,,,,2.560000e-03,0.808081,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
6710886400,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
6710886400,s,s,,,,,,,,B,KB,MB,GB/s,,,,
6710886400,6.613231,0.082245,,,,,,,,,,268.435456,3.263850,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
6710886400,6.695971,0.040209,32,1,1,128,1,1,24,1.639200e+04,0.000000,,,"Tesla K20c (0)","2","14","subSeqMax(int*, int*, int, int) [364]"
6710886400,6.736185,3.168000e-06,,,,,,,,,,2.560000e-03,0.808081,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
13421772800,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
13421772800,s,s,,,,,,,,B,KB,MB,GB/s,,,,
13421772800,6.311560,0.163751,,,,,,,,,,536.870912,3.278579,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
13421772800,6.475808,0.081012,32,1,1,128,1,1,24,1.639200e+04,0.000000,,,"Tesla K20c (0)","2","14","subSeqMax(int*, int*, int, int) [364]"
13421772800,6.556825,3.168000e-06,,,,,,,,,,2.560000e-03,0.808081,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
26843545600,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
26843545600,s,s,,,,,,,,B,KB,GB,GB/s,,,,
26843545600,6.423867,0.326704,,,,,,,,,,1.073742,3.286594,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
26843545600,6.751072,0.164104,32,1,1,128,1,1,24,1.639200e+04,0.000000,,,"Tesla K20c (0)","2","14","subSeqMax(int*, int*, int, int) [364]"
26843545600,6.915180,2.976000e-06,,,,,,,,,,2.560000e-06,0.860215,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
