512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,5.819709,1.689960e-04,,,,,,,,,,1.000000,5.778613,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
512,5.820211,1.689650e-04,,,,,,,,,,1.000000,5.779673,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
512,5.820386,8.275400e-05,32,32,1,16,16,1,10,0,0,,,"Tesla K20c (0)","1","7","matSum(float*, float*, float*, int) [364]"
512,5.820473,1.591400e-04,,,,,,,,,,1.000000,6.136499,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,5.534445,1.197729e-03,,,,,,,,,,4.000000,3.261380,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1024,5.535993,1.195937e-03,,,,,,,,,,4.000000,3.266267,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1024,5.537198,3.249370e-04,64,64,1,16,16,1,10,0,0,,,"Tesla K20c (0)","1","7","matSum(float*, float*, float*, int) [364]"
1024,5.537528,1.828978e-03,,,,,,,,,,4.000000,2.135756,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,5.492803,5.058718e-03,,,,,,,,,,16.000000,3.088727,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2048,5.498192,5.219874e-03,,,,,,,,,,16.000000,2.993367,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2048,5.503419,1.293376e-03,128,128,1,16,16,1,10,0,0,,,"Tesla K20c (0)","1","7","matSum(float*, float*, float*, int) [364]"
2048,5.504718,7.001359e-03,,,,,,,,,,16.000000,2.231710,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
4096,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
4096,s,s,,,,,,,,B,B,MB,GB/s,,,,
4096,6.980136,0.020500,,,,,,,,,,64.000000,3.048828,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
4096,7.000973,0.020433,,,,,,,,,,64.000000,3.058759,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
4096,7.021413,5.191834e-03,256,256,1,16,16,1,10,0,0,,,"Tesla K20c (0)","1","7","matSum(float*, float*, float*, int) [364]"
4096,7.026611,0.029124,,,,,,,,,,64.000000,2.145993,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
8192,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
8192,s,s,,,,,,,,B,B,MB,GB/s,,,,
8192,6.585361,0.082178,,,,,,,,,,256.000000,3.042182,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
8192,6.667875,0.082127,,,,,,,,,,256.000000,3.044084,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
8192,6.750026,0.022687,512,512,1,16,16,1,10,0,0,,,"Tesla K20c (0)","1","7","matSum(float*, float*, float*, int) [364]"
8192,6.772723,0.125195,,,,,,,,,,256.000000,1.996891,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
