131072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
131072,s,s,,,,,,,,B,B,KB,GB/s,,,,
131072,5.901164,8.621000e-05,,,,,,,,,,512.000000,5.663859,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
131072,5.901435,8.640200e-05,,,,,,,,,,512.000000,5.651273,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
131072,5.901527,1.116800e-05,128,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
131072,5.901543,8.102600e-05,,,,,,,,,,512.000000,6.026229,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
262144,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
262144,s,s,,,,,,,,B,B,MB,GB/s,,,,
262144,5.834420,1.716520e-04,,,,,,,,,,1.000000,5.689200,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
262144,5.836051,1.729960e-04,,,,,,,,,,1.000000,5.645000,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
262144,5.836232,2.544000e-05,256,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
262144,5.836262,1.585320e-04,,,,,,,,,,1.000000,6.160034,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
524288,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
524288,s,s,,,,,,,,B,B,MB,GB/s,,,,
524288,6.057104,4.992450e-04,,,,,,,,,,2.000000,3.912157,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
524288,6.057929,4.907970e-04,,,,,,,,,,2.000000,3.979497,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
524288,6.058427,4.966500e-05,512,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
524288,6.058483,3.186640e-04,,,,,,,,,,2.000000,6.129105,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
1048576,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1048576,s,s,,,,,,,,B,B,MB,GB/s,,,,
1048576,5.841736,1.225534e-03,,,,,,,,,,4.000000,3.187386,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1048576,5.843308,1.190621e-03,,,,,,,,,,4.000000,3.280851,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1048576,5.844506,9.552300e-05,1024,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
1048576,5.844605,1.993009e-03,,,,,,,,,,4.000000,1.959976,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
2097152,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2097152,s,s,,,,,,,,B,B,MB,GB/s,,,,
2097152,5.196346,2.479772e-03,,,,,,,,,,8.000000,3.150491,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2097152,5.199162,2.425403e-03,,,,,,,,,,8.000000,3.221114,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2097152,5.201595,1.874290e-04,2048,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
2097152,5.201791,3.460372e-03,,,,,,,,,,8.000000,2.257705,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
4194304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
4194304,s,s,,,,,,,,B,B,MB,GB/s,,,,
4194304,6.020441,5.103161e-03,,,,,,,,,,16.000000,3.061828,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
4194304,6.025880,5.327646e-03,,,,,,,,,,16.000000,2.932815,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
4194304,6.031215,3.706960e-04,4096,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
4194304,6.031589,7.068552e-03,,,,,,,,,,16.000000,2.210495,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
8388608,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
8388608,s,s,,,,,,,,B,B,MB,GB/s,,,,
8388608,6.610556,0.010545,,,,,,,,,,32.000000,2.963531,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
8388608,6.621440,0.010117,,,,,,,,,,32.000000,3.088810,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
8388608,6.631564,7.388010e-04,8192,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
8388608,6.632311,0.015231,,,,,,,,,,32.000000,2.051696,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
12582912,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
12582912,s,s,,,,,,,,B,B,MB,GB/s,,,,
12582912,6.647065,0.015374,,,,,,,,,,48.000000,3.048987,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
12582912,6.662769,0.015199,,,,,,,,,,48.000000,3.084154,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
12582912,6.677975,1.106842e-03,12288,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
12582912,6.679090,0.023107,,,,,,,,,,48.000000,2.028589,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
16777216,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
16777216,s,s,,,,,,,,B,B,MB,GB/s,,,,
16777216,6.451810,0.020445,,,,,,,,,,64.000000,3.057033,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
16777216,6.472590,0.020313,,,,,,,,,,64.000000,3.076773,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
16777216,6.492910,1.481186e-03,16384,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
16777216,6.494399,0.031099,,,,,,,,,,64.000000,2.009703,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
20971520,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
20971520,s,s,,,,,,,,B,B,MB,GB/s,,,,
20971520,6.230765,0.038215,,,,,,,,,,80.000000,2.044348,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
20971520,6.269341,0.026975,,,,,,,,,,80.000000,2.896198,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
20971520,6.296323,1.839018e-03,20480,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
20971520,6.298166,0.037110,,,,,,,,,,80.000000,2.105226,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
25165824,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
25165824,s,s,,,,,,,,B,B,MB,GB/s,,,,
25165824,7.251046,0.030772,,,,,,,,,,96.000000,3.046614,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
25165824,7.282156,0.030615,,,,,,,,,,96.000000,3.062218,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
25165824,7.312778,2.217587e-03,24576,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
25165824,7.315002,0.043557,,,,,,,,,,96.000000,2.152346,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
29360128,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
29360128,s,s,,,,,,,,B,B,MB,GB/s,,,,
29360128,6.580281,0.035842,,,,,,,,,,112.000000,3.051596,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
29360128,6.616459,0.035704,,,,,,,,,,112.000000,3.063415,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
29360128,6.652170,2.588827e-03,28672,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
29360128,6.654763,0.050932,,,,,,,,,,112.000000,2.147469,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
33554432,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
33554432,s,s,,,,,,,,B,B,MB,GB/s,,,,
33554432,7.136443,0.056040,,,,,,,,,,128.000000,2.230559,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
33554432,7.192843,0.054265,,,,,,,,,,128.000000,2.303513,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
33554432,7.247115,2.962211e-03,32768,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
33554432,7.250082,0.058281,,,,,,,,,,128.000000,2.144787,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
37748736,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
37748736,s,s,,,,,,,,B,B,MB,GB/s,,,,
37748736,7.192943,0.046417,,,,,,,,,,144.000000,3.029602,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
37748736,7.239689,0.046353,,,,,,,,,,144.000000,3.033785,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
37748736,7.286049,3.308906e-03,36864,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
37748736,7.289364,0.070648,,,,,,,,,,144.000000,1.990505,"Tesla K20c (0)","1","7","[CUDA memcpy DtoH]"
41943040,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
41943040,s,s,,,,,,,,B,B,MB,GB/s,,,,
41943040,6.934490,0.066992,,,,,,,,,,160.000000,2.332362,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
41943040,7.001842,0.068673,,,,,,,,,,160.000000,2.275283,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
41943040,7.070522,3.692468e-03,40960,1,1,1024,1,1,10,0,0,,,"Tesla K20c (0)","1","7","vectorAdd(float const *, float const *, float*, int) [363]"
