256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,5.408859,4.489700e-05,,,,,,,,,,256.000000,5.437794,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
256,5.408998,4.448100e-05,,,,,,,,,,256.000000,5.488650,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
256,5.409061,1.118494e-03,32,32,1,8,8,1,17,0,0,,,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int) [364]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,5.468870,1.696050e-04,,,,,,,,,,1.000000,5.757864,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
512,5.469395,1.789810e-04,,,,,,,,,,1.000000,5.456236,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
512,5.469581,8.626317e-03,64,64,1,8,8,1,17,0,0,,,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int) [364]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,5.923958,5.654240e-04,,,,,,,,,,2.250000,3.886049,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
768,5.924873,5.538080e-04,,,,,,,,,,2.250000,3.967558,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
768,5.925434,0.029524,96,96,1,8,8,1,17,0,0,,,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int) [364]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,5.821233,1.143231e-03,,,,,,,,,,4.000000,3.416851,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1024,5.822700,1.158495e-03,,,,,,,,,,4.000000,3.371832,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1024,5.823866,0.069939,128,128,1,8,8,1,17,0,0,,,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int) [364]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,5.490202,1.879921e-03,,,,,,,,,,6.250000,3.246687,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1280,5.492410,1.839920e-03,,,,,,,,,,6.250000,3.317272,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1280,5.494257,0.136701,160,160,1,8,8,1,17,0,0,,,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int) [364]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,5.862812,2.931725e-03,,,,,,,,,,9.000000,2.997915,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1536,5.866090,2.904588e-03,,,,,,,,,,9.000000,3.025924,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1536,5.869001,0.236141,192,192,1,8,8,1,17,0,0,,,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int) [364]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,6.372417,3.981992e-03,,,,,,,,,,12.250000,3.004248,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1792,6.376748,3.963624e-03,,,,,,,,,,12.250000,3.018170,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1792,6.380719,0.374840,224,224,1,8,8,1,17,0,0,,,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int) [364]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,5.967454,8.949736e-03,,,,,,,,,,16.000000,1.745862,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2048,5.976722,8.928903e-03,,,,,,,,,,16.000000,1.749935,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2048,5.985658,0.559412,256,256,1,8,8,1,17,0,0,,,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int) [364]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,5.482618,0.012101,,,,,,,,,,20.250000,1.634202,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2304,5.495573,0.011252,,,,,,,,,,20.250000,1.757526,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2304,5.506832,0.797221,288,288,1,8,8,1,17,0,0,,,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int) [364]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,5.544202,7.965960e-03,,,,,,,,,,25.000000,3.064799,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2560,5.552521,8.081867e-03,,,,,,,,,,25.000000,3.020844,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2560,5.560610,1.092431,320,320,1,8,8,1,17,0,0,,,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int) [364]"
2816,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2816,s,s,,,,,,,,B,B,MB,GB/s,,,,
2816,6.401195,9.980153e-03,,,,,,,,,,30.250000,2.959976,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2816,6.411504,9.528270e-03,,,,,,,,,,30.250000,3.100355,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2816,6.421039,1.454963,352,352,1,8,8,1,17,0,0,,,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int) [364]"
3072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3072,s,s,,,,,,,,B,B,MB,GB/s,,,,
3072,6.095141,0.011997,,,,,,,,,,36.000000,2.930442,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
3072,6.107484,0.011489,,,,,,,,,,36.000000,3.060070,"Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
