"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,KB,GB/s,,,,
5.145259,8.701000e-05,,,,,,,,,,524.288000,6.025606,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
5.145386,3.232000e-06,256,1,1,256,1,1,8,0,0,,,"Tesla K20c (0)","2","14","transComplexFloat(float2*, int) [360]"
5.145406,8.061000e-05,,,,,,,,,,524.288000,6.504007,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,MB,GB/s,,,,
5.145405,1.692840e-04,,,,,,,,,,1.048576,6.194183,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
5.145580,4.512000e-06,512,1,1,256,1,1,8,0,0,,,"Tesla K20c (0)","2","14","transComplexFloat(float2*, int) [360]"
5.145587,1.586600e-04,,,,,,,,,,1.048576,6.608950,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,MB,GB/s,,,,
5.215709,4.666990e-04,,,,,,,,,,2.097152,4.493586,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
5.216183,6.688000e-06,1024,1,1,256,1,1,8,0,0,,,"Tesla K20c (0)","2","14","transComplexFloat(float2*, int) [360]"
5.216194,3.180240e-04,,,,,,,,,,2.097152,6.594320,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,MB,GB/s,,,,
5.201718,1.055577e-03,,,,,,,,,,4.194304,3.973470,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
5.202781,1.033700e-05,2048,1,1,256,1,1,8,0,0,,,"Tesla K20c (0)","2","14","transComplexFloat(float2*, int) [360]"
5.202795,9.948070e-04,,,,,,,,,,4.194304,4.216199,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,MB,GB/s,,,,
5.172143,2.227637e-03,,,,,,,,,,8.388608,3.765698,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
5.174378,1.948800e-05,4096,1,1,256,1,1,8,0,0,,,"Tesla K20c (0)","2","14","transComplexFloat(float2*, int) [360]"
5.174401,2.455226e-03,,,,,,,,,,8.388608,3.416634,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,MB,GB/s,,,,
5.363870,4.612076e-03,,,,,,,,,,16.777216,3.637671,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
5.368489,3.641700e-05,8192,1,1,256,1,1,8,0,0,,,"Tesla K20c (0)","2","14","transComplexFloat(float2*, int) [360]"
5.368529,4.875602e-03,,,,,,,,,,16.777216,3.441055,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,MB,GB/s,,,,
5.465720,8.716553e-03,,,,,,,,,,33.554432,3.849507,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
5.474443,7.040100e-05,16384,1,1,256,1,1,8,0,0,,,"Tesla K20c (0)","2","14","transComplexFloat(float2*, int) [360]"
5.474518,9.638589e-03,,,,,,,,,,33.554432,3.481260,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
