512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,KB,MB,GB/s,,,,
512,2.021218,1.021130e-04,,,,,,,,,,1.000000,9.563547,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
512,2.021462,1.021130e-04,,,,,,,,,,1.000000,9.563547,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
512,2.021570,3.111404e-03,32,32,1,16,16,1,23,2.048000e+03,0.000000,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [104]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1024,2.006807,7.395220e-04,,,,,,,,,,4.000000,5.282128,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
1024,2.007701,6.549790e-04,,,,,,,,,,4.000000,5.963932,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
1024,2.008362,0.024790,64,64,1,16,16,1,23,2.048000e+03,0.000000,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [104]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,KB,MB,GB/s,,,,
2048,2.068385,2.862436e-03,,,,,,,,,,16.000000,5.458637,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2048,2.071369,2.563555e-03,,,,,,,,,,16.000000,6.095052,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2048,2.073939,0.198041,128,128,1,16,16,1,23,2.048000e+03,0.000000,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [104]"
4096,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
4096,s,s,,,,,,,,B,KB,MB,GB/s,,,,
4096,2.197465,0.010670,,,,,,,,,,64.000000,5.857773,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4096,2.208254,0.010304,,,,,,,,,,64.000000,6.065653,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
4096,2.218564,1.582241,256,256,1,16,16,1,23,2.048000e+03,0.000000,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [104]"
8192,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
8192,s,s,,,,,,,,B,KB,MB,GB/s,,,,
8192,2.812886,0.041751,,,,,,,,,,256.000000,5.987871,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
8192,2.854757,0.041473,,,,,,,,,,256.000000,6.027954,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
8192,2.896236,12.672296,512,512,1,16,16,1,23,2.048000e+03,0.000000,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [104]"
