256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,2.001967,2.764800e-05,,,,,,,,,,256.000000,8.830318,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
256,2.002039,2.720000e-05,,,,,,,,,,256.000000,8.975758,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
256,2.002072,5.523540e-04,32,32,1,8,8,1,17,0,0,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [103]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,2.026492,1.018890e-04,,,,,,,,,,1.000000,9.584572,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
512,2.026742,1.073930e-04,,,,,,,,,,1.000000,9.093353,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
512,2.026856,4.223374e-03,64,64,1,8,8,1,17,0,0,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [103]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,2.027311,3.235210e-04,,,,,,,,,,2.250000,6.791725,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
768,2.027779,3.236490e-04,,,,,,,,,,2.250000,6.789039,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
768,2.028109,0.014090,96,96,1,8,8,1,17,0,0,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [103]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,2.013944,6.824980e-04,,,,,,,,,,4.000000,5.723460,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
1024,2.014776,6.679380e-04,,,,,,,,,,4.000000,5.848222,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
1024,2.015449,0.033136,128,128,1,8,8,1,17,0,0,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [103]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,2.038744,1.085665e-03,,,,,,,,,,6.250000,5.621914,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
1280,2.039969,1.027617e-03,,,,,,,,,,6.250000,5.939485,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
1280,2.041009,0.064624,160,160,1,8,8,1,17,0,0,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [103]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,2.029945,1.681390e-03,,,,,,,,,,9.000000,5.227260,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
1536,2.031752,1.418795e-03,,,,,,,,,,9.000000,6.194737,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
1536,2.033177,0.111593,192,192,1,8,8,1,17,0,0,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [103]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,2.056836,2.236962e-03,,,,,,,,,,12.250000,5.347829,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
1792,2.059195,1.933121e-03,,,,,,,,,,12.250000,6.188382,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
1792,2.061134,0.176972,224,224,1,8,8,1,17,0,0,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [103]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,2.079745,2.833889e-03,,,,,,,,,,16.000000,5.513625,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2048,2.082716,2.552737e-03,,,,,,,,,,16.000000,6.120881,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2048,2.085275,0.264136,256,256,1,8,8,1,17,0,0,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [103]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,2.086367,3.531392e-03,,,,,,,,,,20.250000,5.599885,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2304,2.090021,3.255680e-03,,,,,,,,,,20.250000,6.074120,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2304,2.093283,0.377673,288,288,1,8,8,1,17,0,0,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [103]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,2.110054,4.332255e-03,,,,,,,,,,25.000000,5.635417,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2560,2.114509,4.049823e-03,,,,,,,,,,25.000000,6.028427,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2560,2.118565,0.517323,320,320,1,8,8,1,17,0,0,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [103]"
2816,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2816,s,s,,,,,,,,B,B,MB,GB/s,,,,
2816,2.108003,5.139598e-03,,,,,,,,,,30.250000,5.747729,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2816,2.113263,4.895021e-03,,,,,,,,,,30.250000,6.034911,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2816,2.118164,0.688636,352,352,1,8,8,1,17,0,0,,,"Tesla K40c (0)","1","7","matMul(float*, float*, float*, int) [103]"
3072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3072,s,s,,,,,,,,B,B,MB,GB/s,,,,
3072,2.125891,6.206170e-03,,,,,,,,,,36.000000,5.664726,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
3072,2.132221,5.827899e-03,,,,,,,,,,36.000000,6.032406,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
