512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,KB,MB,GB/s,,,,
512,0.196982,9.139400e-05,,,,,,,,,,1.048576,11.473138,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
512,0.197238,9.091400e-05,,,,,,,,,,1.048576,11.533713,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
512,0.197335,3.214248e-03,32,32,1,16,16,1,23,2.048000e+03,0.000000,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [191]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1024,0.208956,5.928450e-04,,,,,,,,,,4.194304,7.074875,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1024,0.209716,5.863170e-04,,,,,,,,,,4.194304,7.153646,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1024,0.210307,0.025693,64,64,1,16,16,1,23,2.048000e+03,0.000000,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [191]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,KB,MB,GB/s,,,,
2048,0.254729,2.572143e-03,,,,,,,,,,16.777216,6.522661,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2048,0.257458,2.421676e-03,,,,,,,,,,16.777216,6.927936,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2048,0.259886,0.204817,128,128,1,16,16,1,23,2.048000e+03,0.000000,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [191]"
4096,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
4096,s,s,,,,,,,,B,KB,MB,GB/s,,,,
4096,0.444010,0.010226,,,,,,,,,,67.108864,6.562785,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
4096,0.454395,9.914719e-03,,,,,,,,,,67.108864,6.768610,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
4096,0.464316,1.638036,256,256,1,16,16,1,23,2.048000e+03,0.000000,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [191]"
8192,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
8192,s,s,,,,,,,,B,KB,MB,GB/s,,,,
8192,1.172659,0.040830,,,,,,,,,,268.435456,6.574517,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
8192,1.213884,0.040125,,,,,,,,,,268.435456,6.689980,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
8192,1.254014,13.107275,512,512,1,16,16,1,23,2.048000e+03,0.000000,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [191]"
