256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,0.202167,2.473600e-05,,,,,,,,,,262.144000,10.597671,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
256,0.202245,2.518400e-05,,,,,,,,,,262.144000,10.409149,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
256,0.202286,3.272390e-04,32,32,1,8,8,1,23,512,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,0.209333,9.181000e-05,,,,,,,,,,1.048576,11.421152,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
512,0.209597,9.933000e-05,,,,,,,,,,1.048576,10.556488,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
512,0.209703,2.526777e-03,64,64,1,8,8,1,23,512,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,0.217767,2.866620e-04,,,,,,,,,,2.359296,8.230236,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
768,0.218215,2.857020e-04,,,,,,,,,,2.359296,8.257891,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
768,0.218506,8.519853e-03,96,96,1,8,8,1,23,512,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,0.219678,5.726530e-04,,,,,,,,,,4.194304,7.324338,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1024,0.220480,5.855160e-04,,,,,,,,,,4.194304,7.163432,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1024,0.221072,0.020171,128,128,1,8,8,1,23,512,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,0.227336,9.225470e-04,,,,,,,,,,6.553600,7.103812,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1280,0.228417,9.060670e-04,,,,,,,,,,6.553600,7.233019,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1280,0.229328,0.039269,160,160,1,8,8,1,23,512,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,0.242131,1.474813e-03,,,,,,,,,,9.437184,6.398902,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1536,0.243764,1.299865e-03,,,,,,,,,,9.437184,7.260126,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1536,0.245070,0.067813,192,192,1,8,8,1,23,512,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,0.251068,1.892419e-03,,,,,,,,,,12.845056,6.787638,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1792,0.253113,1.748673e-03,,,,,,,,,,12.845056,7.345602,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1792,0.254876,0.107600,224,224,1,8,8,1,23,512,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,0.263487,2.519632e-03,,,,,,,,,,16.777216,6.658598,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2048,0.266157,2.335596e-03,,,,,,,,,,16.777216,7.183270,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2048,0.268499,0.160787,256,256,1,8,8,1,23,512,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,0.281480,3.097752e-03,,,,,,,,,,21.233664,6.854540,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2304,0.284744,2.971094e-03,,,,,,,,,,21.233664,7.146749,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2304,0.287720,0.228785,288,288,1,8,8,1,23,512,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,0.302783,3.830340e-03,,,,,,,,,,26.214400,6.843883,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2560,0.306761,3.656129e-03,,,,,,,,,,26.214400,7.169988,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2560,0.310423,0.313552,320,320,1,8,8,1,23,512,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
2816,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2816,s,s,,,,,,,,B,B,MB,GB/s,,,,
2816,0.316683,4.678674e-03,,,,,,,,,,31.719424,6.779576,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2816,0.321514,4.437453e-03,,,,,,,,,,31.719424,7.148115,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2816,0.325959,0.417185,352,352,1,8,8,1,23,512,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
3072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3072,s,s,,,,,,,,B,B,MB,GB/s,,,,
