256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,0.207999,2.476900e-05,,,,,,,,,,262.144000,10.583552,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
256,0.208071,2.483300e-05,,,,,,,,,,262.144000,10.556276,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
256,0.208104,6.784000e-06,32,32,1,8,8,1,10,0,0,,,"GeForce GTX TITAN (0)","1","7","matSum(float*, float*, float*, int) [189]"
256,0.208114,2.438500e-05,,,,,,,,,,262.144000,10.750215,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy DtoH]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,0.208249,9.155400e-05,,,,,,,,,,1.048576,11.453088,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
512,0.208499,9.078600e-05,,,,,,,,,,1.048576,11.549975,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
512,0.208596,2.428900e-05,64,64,1,8,8,1,10,0,0,,,"GeForce GTX TITAN (0)","1","7","matSum(float*, float*, float*, int) [189]"
512,0.208624,9.065800e-05,,,,,,,,,,1.048576,11.566282,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy DtoH]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,0.220470,2.885830e-04,,,,,,,,,,2.359296,8.175450,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
768,0.220934,2.846790e-04,,,,,,,,,,2.359296,8.287566,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
768,0.221224,5.321700e-05,96,96,1,8,8,1,10,0,0,,,"GeForce GTX TITAN (0)","1","7","matSum(float*, float*, float*, int) [189]"
768,0.221281,3.178320e-04,,,,,,,,,,2.359296,7.423091,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy DtoH]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,0.218408,5.738370e-04,,,,,,,,,,4.194304,7.309225,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1024,0.219140,5.610690e-04,,,,,,,,,,4.194304,7.475558,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1024,0.219706,9.056200e-05,128,128,1,8,8,1,10,0,0,,,"GeForce GTX TITAN (0)","1","7","matSum(float*, float*, float*, int) [189]"
1024,0.219801,7.244970e-04,,,,,,,,,,4.194304,5.789263,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy DtoH]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,0.227571,9.943570e-04,,,,,,,,,,6.553600,6.590792,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1280,0.228726,9.149960e-04,,,,,,,,,,6.553600,7.162436,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1280,0.229647,1.405470e-04,160,160,1,8,8,1,10,0,0,,,"GeForce GTX TITAN (0)","1","7","matSum(float*, float*, float*, int) [189]"
1280,0.229791,1.600067e-03,,,,,,,,,,6.553600,4.095828,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy DtoH]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,0.237081,1.427328e-03,,,,,,,,,,9.437184,6.611784,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1536,0.238693,1.302429e-03,,,,,,,,,,9.437184,7.245834,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1536,0.240001,2.030770e-04,192,192,1,8,8,1,10,0,0,,,"GeForce GTX TITAN (0)","1","7","matSum(float*, float*, float*, int) [189]"
1536,0.240208,1.964108e-03,,,,,,,,,,9.437184,4.804819,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy DtoH]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,0.250029,1.872296e-03,,,,,,,,,,12.845056,6.860590,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1792,0.252052,1.816903e-03,,,,,,,,,,12.845056,7.069753,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1792,0.253875,2.726130e-04,224,224,1,8,8,1,10,0,0,,,"GeForce GTX TITAN (0)","1","7","matSum(float*, float*, float*, int) [189]"
1792,0.254150,2.736057e-03,,,,,,,,,,12.845056,4.694733,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy DtoH]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,0.267184,2.472116e-03,,,,,,,,,,16.777216,6.786581,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2048,0.269805,2.385330e-03,,,,,,,,,,16.777216,7.033499,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2048,0.272196,3.587920e-04,256,256,1,8,8,1,10,0,0,,,"GeForce GTX TITAN (0)","1","7","matSum(float*, float*, float*, int) [189]"
2048,0.272558,3.562858e-03,,,,,,,,,,16.777216,4.708921,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy DtoH]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,0.275967,3.091709e-03,,,,,,,,,,21.233664,6.867937,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2304,0.279214,3.009308e-03,,,,,,,,,,21.233664,7.055996,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2304,0.282229,4.503770e-04,288,288,1,8,8,1,10,0,0,,,"GeForce GTX TITAN (0)","1","7","matSum(float*, float*, float*, int) [189]"
2304,0.282683,4.752607e-03,,,,,,,,,,21.233664,4.467793,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy DtoH]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
