256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,0.208625,2.480100e-05,,,,,,,,,,262.144000,10.569896,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
256,0.208700,2.502400e-05,,,,,,,,,,262.144000,10.475703,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
256,0.208738,9.006280e-04,32,32,1,8,8,1,17,0,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,0.206865,9.181000e-05,,,,,,,,,,1.048576,11.421152,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
512,0.207117,1.005460e-04,,,,,,,,,,1.048576,10.428819,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
512,0.207224,6.818044e-03,64,64,1,8,8,1,17,0,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,0.218175,2.745980e-04,,,,,,,,,,2.359296,8.591818,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
768,0.218608,2.841990e-04,,,,,,,,,,2.359296,8.301563,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
768,0.218898,0.023100,96,96,1,8,8,1,17,0,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,0.220625,5.784440e-04,,,,,,,,,,4.194304,7.251011,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1024,0.221365,5.778370e-04,,,,,,,,,,4.194304,7.258628,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1024,0.221949,0.054501,128,128,1,8,8,1,17,0,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,0.231654,9.723400e-04,,,,,,,,,,6.553600,6.740029,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1280,0.232784,8.849460e-04,,,,,,,,,,6.553600,7.405650,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1280,0.233674,0.106388,160,160,1,8,8,1,17,0,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,0.239287,1.365435e-03,,,,,,,,,,9.437184,6.911485,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1536,0.240806,1.350459e-03,,,,,,,,,,9.437184,6.988131,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1536,0.242162,0.183923,192,192,1,8,8,1,17,0,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,0.252423,1.849320e-03,,,,,,,,,,12.845056,6.945827,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1792,0.254421,1.756646e-03,,,,,,,,,,12.845056,7.312262,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
1792,0.256183,0.292069,224,224,1,8,8,1,17,0,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,0.267042,2.482094e-03,,,,,,,,,,16.777216,6.759299,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2048,0.269674,2.304618e-03,,,,,,,,,,16.777216,7.279825,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2048,0.271984,0.435705,256,256,1,8,8,1,17,0,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,0.278111,3.253595e-03,,,,,,,,,,21.233664,6.526216,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2304,0.281513,2.933045e-03,,,,,,,,,,21.233664,7.239461,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2304,0.284459,0.621542,288,288,1,8,8,1,17,0,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,0.298772,3.931428e-03,,,,,,,,,,26.214400,6.667908,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2560,0.302858,3.710305e-03,,,,,,,,,,26.214400,7.065295,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2560,0.306574,0.850689,320,320,1,8,8,1,17,0,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
2816,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2816,s,s,,,,,,,,B,B,MB,GB/s,,,,
2816,0.321610,4.649486e-03,,,,,,,,,,31.719424,6.822136,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2816,0.326416,4.530988e-03,,,,,,,,,,31.719424,7.000554,"GeForce GTX TITAN (0)","1","7","[CUDA memcpy HtoD]"
2816,0.330953,1.134568,352,352,1,8,8,1,17,0,0,,,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int) [190]"
3072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3072,s,s,,,,,,,,B,B,MB,GB/s,,,,
