256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,1.167764,2.361600e-05,,,,,,,,,,262.144000,11.100271,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
256,1.167832,2.348800e-05,,,,,,,,,,262.144000,11.160763,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
256,1.167866,4.352000e-06,16,16,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
256,1.167876,2.304000e-05,,,,,,,,,,262.144000,11.377778,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,1.174697,8.684900e-05,,,,,,,,,,1.048576,12.073553,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
512,1.174929,8.688100e-05,,,,,,,,,,1.048576,12.069106,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
512,1.175021,1.542400e-05,32,32,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
512,1.175040,8.508900e-05,,,,,,,,,,1.048576,12.323285,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,1.186511,2.365140e-04,,,,,,,,,,2.359296,9.975291,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
768,1.186876,2.362260e-04,,,,,,,,,,2.359296,9.987453,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
768,1.187118,3.529600e-05,48,48,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
768,1.187157,2.067220e-04,,,,,,,,,,2.359296,11.412893,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,1.196635,4.615080e-04,,,,,,,,,,4.194304,9.088258,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1024,1.197228,4.631400e-04,,,,,,,,,,4.194304,9.056234,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1024,1.197697,5.942500e-05,64,64,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
1024,1.197760,3.565470e-04,,,,,,,,,,4.194304,11.763678,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,1.218839,7.340220e-04,,,,,,,,,,6.553600,8.928343,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1280,1.219699,7.377980e-04,,,,,,,,,,6.553600,8.882648,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1280,1.220442,9.344100e-05,80,80,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
1280,1.220540,5.710120e-04,,,,,,,,,,6.553600,11.477167,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,1.230547,1.086473e-03,,,,,,,,,,9.437184,8.686073,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1536,1.231759,1.104809e-03,,,,,,,,,,9.437184,8.541914,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1536,1.232869,1.331860e-04,96,96,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
1536,1.233006,4.116129e-03,,,,,,,,,,9.437184,2.292733,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,1.251532,1.507084e-03,,,,,,,,,,12.845056,8.523119,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1792,1.253163,1.480428e-03,,,,,,,,,,12.845056,8.676583,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1792,1.254649,1.776330e-04,112,112,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
1792,1.254831,6.349939e-03,,,,,,,,,,12.845056,2.022863,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,1.277192,1.974608e-03,,,,,,,,,,16.777216,8.496479,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
2048,1.279291,1.953167e-03,,,,,,,,,,16.777216,8.589750,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
2048,1.281250,2.287700e-04,128,128,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
2048,1.281482,8.064800e-03,,,,,,,,,,16.777216,2.080302,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,1.310595,2.464596e-03,,,,,,,,,,21.233664,8.615475,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
2304,1.313205,2.450675e-03,,,,,,,,,,21.233664,8.664414,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
2304,1.315661,2.960660e-04,144,144,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
2304,1.315961,0.010796,,,,,,,,,,21.233664,1.966758,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
