256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,1.244061,2.361600e-05,,,,,,,,,,262.144000,11.100271,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
256,1.244130,2.355200e-05,,,,,,,,,,262.144000,11.130435,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
256,1.244165,1.696000e-05,16,16,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
256,1.244185,2.310500e-05,,,,,,,,,,262.144000,11.345769,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,1.247754,8.672100e-05,,,,,,,,,,1.048576,12.091373,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
512,1.247968,8.691300e-05,,,,,,,,,,1.048576,12.064662,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
512,1.248061,5.910400e-05,32,32,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
512,1.248123,8.553700e-05,,,,,,,,,,1.048576,12.258742,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,1.255831,2.521620e-04,,,,,,,,,,2.359296,9.356271,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
768,1.256208,2.362580e-04,,,,,,,,,,2.359296,9.986100,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
768,1.256450,1.349130e-04,48,48,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
768,1.256588,1.987540e-04,,,,,,,,,,2.359296,11.870433,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,1.268099,4.631720e-04,,,,,,,,,,4.194304,9.055608,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1024,1.268689,4.593320e-04,,,,,,,,,,4.194304,9.131312,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1024,1.269154,2.293780e-04,64,64,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
1024,1.269387,3.581470e-04,,,,,,,,,,4.194304,11.711124,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,1.282783,7.398470e-04,,,,,,,,,,6.553600,8.858048,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1280,1.283651,7.526470e-04,,,,,,,,,,6.553600,8.707402,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1280,1.284409,3.660510e-04,80,80,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
1280,1.284779,5.717490e-04,,,,,,,,,,6.553600,11.462372,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,1.301390,1.093994e-03,,,,,,,,,,9.437184,8.626358,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1536,1.302607,1.098090e-03,,,,,,,,,,9.437184,8.594181,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1536,1.303711,6.335410e-04,96,96,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
1536,1.304348,4.126757e-03,,,,,,,,,,9.437184,2.286828,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,1.320388,1.481709e-03,,,,,,,,,,12.845056,8.669081,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1792,1.321995,1.477709e-03,,,,,,,,,,12.845056,8.692548,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1792,1.323478,7.165190e-04,112,112,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
1792,1.324198,6.323031e-03,,,,,,,,,,12.845056,2.031471,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,1.351866,1.982833e-03,,,,,,,,,,16.777216,8.461235,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
2048,1.353975,1.983761e-03,,,,,,,,,,16.777216,8.457277,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
2048,1.355965,8.994950e-04,128,128,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
2048,1.356868,8.071270e-03,,,,,,,,,,16.777216,2.078634,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,1.380870,2.511894e-03,,,,,,,,,,21.233664,8.453248,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
2304,1.383508,2.450805e-03,,,,,,,,,,21.233664,8.663955,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
2304,1.385964,1.405324e-03,144,144,1,16,16,1,10,0,0,,,"GeForce GTX TITAN Black (0)","2","14","matSum(float*, float*, float*, int) [102]"
2304,1.387373,0.010832,,,,,,,,,,21.233664,1.960307,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy DtoH]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
