256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,KB,KB,GB/s,,,,
256,1.764257,2.371200e-05,,,,,,,,,,262.144000,11.055331,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
256,1.764339,2.361600e-05,,,,,,,,,,262.144000,11.100271,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
256,1.764377,9.469000e-05,8,8,1,32,32,1,25,8.192000e+03,0.000000,,,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int) [103]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,KB,MB,GB/s,,,,
512,1.773545,8.694500e-05,,,,,,,,,,1.048576,12.060222,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
512,1.773834,8.716900e-05,,,,,,,,,,1.048576,12.029231,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
512,1.773928,6.537680e-04,16,16,1,32,32,1,25,8.192000e+03,0.000000,,,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int) [103]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,KB,MB,GB/s,,,,
768,1.792851,3.306910e-04,,,,,,,,,,2.359296,7.134443,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
768,1.793380,3.353000e-04,,,,,,,,,,2.359296,7.036373,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
768,1.793721,2.150584e-03,24,24,1,32,32,1,25,8.192000e+03,0.000000,,,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int) [103]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1024,1.780154,7.428560e-04,,,,,,,,,,4.194304,5.646187,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1024,1.781096,7.522010e-04,,,,,,,,,,4.194304,5.576042,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1024,1.781855,4.984249e-03,32,32,1,32,32,1,25,8.192000e+03,0.000000,,,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int) [103]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1280,1.819802,1.216398e-03,,,,,,,,,,6.553600,5.387710,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1280,1.821221,1.218702e-03,,,,,,,,,,6.553600,5.377525,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1280,1.822445,9.706575e-03,40,40,1,32,32,1,25,8.192000e+03,0.000000,,,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int) [103]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1536,1.835992,1.869525e-03,,,,,,,,,,9.437184,5.047905,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1536,1.838065,1.865045e-03,,,,,,,,,,9.437184,5.060030,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
1536,1.839936,0.016713,48,48,1,32,32,1,25,8.192000e+03,0.000000,,,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int) [103]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1792,1.861516,2.546140e-03,,,,,,,,,,12.845056,5.044913,"GeForce GTX TITAN Black (0)","2","14","[CUDA memcpy HtoD]"
