256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,1.334418,2.361600e-05,,,,,,,,,,256.000000,10.337933,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
256,1.334478,2.368000e-05,,,,,,,,,,256.000000,10.309993,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
256,1.334520,1.978910e-04,32,32,1,8,8,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,1.290232,8.665700e-05,,,,,,,,,,1.000000,11.269286,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
512,1.290426,8.691300e-05,,,,,,,,,,1.000000,11.236092,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
512,1.290518,1.314353e-03,64,64,1,8,8,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,1.318196,2.208350e-04,,,,,,,,,,2.250000,9.949807,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
768,1.318529,2.216030e-04,,,,,,,,,,2.250000,9.915324,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
768,1.318756,5.507236e-03,96,96,1,8,8,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,1.324282,4.340850e-04,,,,,,,,,,4.000000,8.998814,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1024,1.324828,4.267250e-04,,,,,,,,,,4.000000,9.154022,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1024,1.325260,0.012692,128,128,1,8,8,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,1.352970,6.947920e-04,,,,,,,,,,6.250000,8.784666,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1280,1.353789,6.862800e-04,,,,,,,,,,6.250000,8.893623,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1280,1.354481,0.026173,160,160,1,8,8,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,1.377767,1.383152e-03,,,,,,,,,,9.000000,6.354372,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1536,1.379310,1.333007e-03,,,,,,,,,,9.000000,6.593411,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1536,1.380649,0.045010,192,192,1,8,8,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,1.362120,1.394833e-03,,,,,,,,,,12.250000,8.576576,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1792,1.363629,1.333487e-03,,,,,,,,,,12.250000,8.971134,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1792,1.364968,0.070200,224,224,1,8,8,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,1.397106,1.826612e-03,,,,,,,,,,16.000000,8.554088,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2048,1.399041,1.718739e-03,,,,,,,,,,16.000000,9.090967,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2048,1.400766,0.098144,256,256,1,8,8,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,1.425057,2.301401e-03,,,,,,,,,,20.250000,8.592762,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2304,1.427470,2.192344e-03,,,,,,,,,,20.250000,9.020204,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2304,1.429669,0.142066,288,288,1,8,8,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,1.483222,3.442212e-03,,,,,,,,,,25.000000,7.092551,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2560,1.486807,3.239330e-03,,,,,,,,,,25.000000,7.536763,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2560,1.490052,0.183725,320,320,1,8,8,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
2816,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2816,s,s,,,,,,,,B,B,MB,GB/s,,,,
2816,1.520324,4.483215e-03,,,,,,,,,,30.250000,6.589248,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2816,1.524953,4.243852e-03,,,,,,,,,,30.250000,6.960897,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2816,1.529221,0.235590,352,352,1,8,8,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
3072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3072,s,s,,,,,,,,B,B,MB,GB/s,,,,
