256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,KB,KB,GB/s,,,,
256,1.313631,2.358400e-05,,,,,,,,,,256.000000,10.351960,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
256,1.313692,2.377600e-05,,,,,,,,,,256.000000,10.268364,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
256,1.313733,5.308900e-05,16,16,1,16,16,1,24,2.048000e+03,0.000000,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,KB,MB,GB/s,,,,
512,1.304231,8.678500e-05,,,,,,,,,,1.000000,11.252665,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
512,1.304427,8.707300e-05,,,,,,,,,,1.000000,11.215446,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
512,1.304519,3.494760e-04,32,32,1,16,16,1,24,2.048000e+03,0.000000,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,KB,MB,GB/s,,,,
768,1.330360,2.384990e-04,,,,,,,,,,2.250000,9.212892,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
768,1.330719,2.295390e-04,,,,,,,,,,2.250000,9.572515,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
768,1.330954,1.143182e-03,48,48,1,16,16,1,24,2.048000e+03,0.000000,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1024,1.301798,4.042290e-04,,,,,,,,,,4.000000,9.663458,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1024,1.302315,3.989490e-04,,,,,,,,,,4.000000,9.791352,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1024,1.302720,2.705122e-03,64,64,1,16,16,1,24,2.048000e+03,0.000000,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1280,1.339613,6.790160e-04,,,,,,,,,,6.250000,8.988766,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1280,1.340404,6.638480e-04,,,,,,,,,,6.250000,9.194146,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1280,1.341074,5.320001e-03,80,80,1,16,16,1,24,2.048000e+03,0.000000,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1536,1.345993,1.030636e-03,,,,,,,,,,9.000000,8.527805,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1536,1.347137,9.927800e-04,,,,,,,,,,9.000000,8.852981,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1536,1.348135,9.196975e-03,96,96,1,16,16,1,24,2.048000e+03,0.000000,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1792,1.367305,1.400048e-03,,,,,,,,,,12.250000,8.544629,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
