256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,KB,KB,GB/s,,,,
256,1.306190,2.358400e-05,,,,,,,,,,256.000000,10.351960,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
256,1.306247,2.348800e-05,,,,,,,,,,256.000000,10.394270,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
256,1.306285,1.629460e-04,16,16,1,16,16,1,24,2.048000e+03,0.000000,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,KB,MB,GB/s,,,,
512,1.327013,8.710500e-05,,,,,,,,,,1.000000,11.211325,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
512,1.327224,8.726500e-05,,,,,,,,,,1.000000,11.190769,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
512,1.327316,1.200335e-03,32,32,1,16,16,1,24,2.048000e+03,0.000000,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,KB,MB,GB/s,,,,
768,1.309923,2.335070e-04,,,,,,,,,,2.250000,9.409849,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
768,1.310279,2.339540e-04,,,,,,,,,,2.250000,9.391870,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
768,1.310519,3.826413e-03,48,48,1,16,16,1,24,2.048000e+03,0.000000,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1024,1.357476,4.455090e-04,,,,,,,,,,4.000000,8.768061,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1024,1.358037,4.327090e-04,,,,,,,,,,4.000000,9.027430,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1024,1.358475,9.155789e-03,64,64,1,16,16,1,24,2.048000e+03,0.000000,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1280,1.356290,6.937680e-04,,,,,,,,,,6.250000,8.797632,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1280,1.357100,6.827600e-04,,,,,,,,,,6.250000,8.939475,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1280,1.357788,0.017666,80,80,1,16,16,1,24,2.048000e+03,0.000000,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1536,1.373335,1.030124e-03,,,,,,,,,,9.000000,8.532043,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1536,1.374486,9.905390e-04,,,,,,,,,,9.000000,8.873010,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1536,1.375483,0.030338,96,96,1,16,16,1,24,2.048000e+03,0.000000,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,KB,MB,GB/s,,,,
1792,1.395869,1.391408e-03,,,,,,,,,,12.250000,8.597687,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1792,1.397375,1.332687e-03,,,,,,,,,,12.250000,8.976519,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
