256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,1.356230,2.368000e-05,,,,,,,,,,256.000000,10.309993,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
256,1.356300,2.358400e-05,,,,,,,,,,256.000000,10.351960,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
256,1.356351,1.242863e-03,8,8,1,32,32,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,1.327482,8.713700e-05,,,,,,,,,,1.000000,11.207208,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
512,1.327693,8.729700e-05,,,,,,,,,,1.000000,11.186667,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
512,1.327786,7.585917e-03,16,16,1,32,32,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,1.323914,2.319390e-04,,,,,,,,,,2.250000,9.473463,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
768,1.324268,2.354590e-04,,,,,,,,,,2.250000,9.331840,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
768,1.324510,0.025257,24,24,1,32,32,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,1.347506,4.572220e-04,,,,,,,,,,4.000000,8.543443,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1024,1.348083,4.381170e-04,,,,,,,,,,4.000000,8.915997,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1024,1.348528,0.056502,32,32,1,32,32,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,1.384668,6.914000e-04,,,,,,,,,,6.250000,8.827763,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1280,1.385476,6.885840e-04,,,,,,,,,,6.250000,8.863865,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1280,1.386170,0.115715,40,40,1,32,32,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,1.374373,1.034860e-03,,,,,,,,,,9.000000,8.492997,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1536,1.375523,1.002124e-03,,,,,,,,,,9.000000,8.770434,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1536,1.376531,0.195421,48,48,1,32,32,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,1.395587,1.398096e-03,,,,,,,,,,12.250000,8.556559,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1792,1.397102,1.328879e-03,,,,,,,,,,12.250000,9.002242,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1792,1.398437,0.302668,56,56,1,32,32,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,1.443978,1.832469e-03,,,,,,,,,,16.000000,8.526747,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2048,1.445922,1.729588e-03,,,,,,,,,,16.000000,9.033943,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2048,1.447658,0.422831,64,64,1,32,32,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,1.441255,2.308665e-03,,,,,,,,,,20.250000,8.565725,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2304,1.443675,2.200792e-03,,,,,,,,,,20.250000,8.985579,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2304,1.445882,0.611379,72,72,1,32,32,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
2560,1.418547,2.795391e-03,,,,,,,,,,25.000000,8.733684,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2560,1.421455,2.717758e-03,,,,,,,,,,25.000000,8.983163,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2560,1.424179,0.810554,80,80,1,32,32,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
2816,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2816,s,s,,,,,,,,B,B,MB,GB/s,,,,
2816,1.439677,3.396645e-03,,,,,,,,,,30.250000,8.697116,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2816,1.443186,3.289827e-03,,,,,,,,,,30.250000,8.979504,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2816,1.446481,1.096374,88,88,1,32,32,1,27,0,0,,,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int) [190]"
3072,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
3072,s,s,,,,,,,,B,B,MB,GB/s,,,,
