256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,s,s,,,,,,,,B,B,KB,GB/s,,,,
256,1.335284,2.384000e-05,,,,,,,,,,256.000000,10.240798,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
256,1.335347,2.380900e-05,,,,,,,,,,256.000000,10.254132,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
256,1.335388,1.641600e-05,8,8,1,32,32,1,10,0,0,,,"GeForce GTX TITAN X (0)","1","7","matSum(float*, float*, float*, int) [189]"
256,1.335406,2.249600e-05,,,,,,,,,,256.000000,10.852624,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy DtoH]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,s,s,,,,,,,,B,B,MB,GB/s,,,,
512,1.300337,8.678600e-05,,,,,,,,,,1.000000,11.252535,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
512,1.300532,8.716900e-05,,,,,,,,,,1.000000,11.203094,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
512,1.300624,5.888100e-05,16,16,1,32,32,1,10,0,0,,,"GeForce GTX TITAN X (0)","1","7","matSum(float*, float*, float*, int) [189]"
512,1.300685,8.236900e-05,,,,,,,,,,1.000000,11.855947,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy DtoH]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,s,s,,,,,,,,B,B,MB,GB/s,,,,
768,1.312494,2.247710e-04,,,,,,,,,,2.250000,9.775574,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
768,1.312835,2.273630e-04,,,,,,,,,,2.250000,9.664130,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
768,1.313068,1.355540e-04,24,24,1,32,32,1,10,0,0,,,"GeForce GTX TITAN X (0)","1","7","matSum(float*, float*, float*, int) [189]"
768,1.313206,5.580860e-04,,,,,,,,,,2.250000,3.937145,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy DtoH]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,s,s,,,,,,,,B,B,MB,GB/s,,,,
1024,1.291487,4.510450e-04,,,,,,,,,,4.000000,8.660444,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1024,1.292052,4.347890e-04,,,,,,,,,,4.000000,8.984243,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1024,1.292493,2.184670e-04,32,32,1,32,32,1,10,0,0,,,"GeForce GTX TITAN X (0)","1","7","matSum(float*, float*, float*, int) [189]"
1024,1.292714,7.000400e-04,,,,,,,,,,4.000000,5.580038,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy DtoH]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,s,s,,,,,,,,B,B,MB,GB/s,,,,
1280,1.330344,7.122960e-04,,,,,,,,,,6.250000,8.568791,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1280,1.331175,7.025050e-04,,,,,,,,,,6.250000,8.688217,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1280,1.331883,3.542120e-04,40,40,1,32,32,1,10,0,0,,,"GeForce GTX TITAN X (0)","1","7","matSum(float*, float*, float*, int) [189]"
1280,1.332240,1.800405e-03,,,,,,,,,,6.250000,3.390079,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy DtoH]"
1536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1536,s,s,,,,,,,,B,B,MB,GB/s,,,,
1536,1.389587,1.018827e-03,,,,,,,,,,9.000000,8.626649,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1536,1.390722,9.846190e-04,,,,,,,,,,9.000000,8.926359,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1536,1.391713,5.281020e-04,48,48,1,32,32,1,10,0,0,,,"GeForce GTX TITAN X (0)","1","7","matSum(float*, float*, float*, int) [189]"
1536,1.392243,2.132472e-03,,,,,,,,,,9.000000,4.121537,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy DtoH]"
1792,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1792,s,s,,,,,,,,B,B,MB,GB/s,,,,
1792,1.390336,1.407343e-03,,,,,,,,,,12.250000,8.500338,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1792,1.391856,1.328271e-03,,,,,,,,,,12.250000,9.006363,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
1792,1.393191,7.060560e-04,56,56,1,32,32,1,10,0,0,,,"GeForce GTX TITAN X (0)","1","7","matSum(float*, float*, float*, int) [189]"
1792,1.393899,2.880831e-03,,,,,,,,,,12.250000,4.152583,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy DtoH]"
2048,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2048,s,s,,,,,,,,B,B,MB,GB/s,,,,
2048,1.339531,1.927511e-03,,,,,,,,,,16.000000,8.106309,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2048,1.341574,1.736853e-03,,,,,,,,,,16.000000,8.996156,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2048,1.343317,8.552740e-04,64,64,1,32,32,1,10,0,0,,,"GeForce GTX TITAN X (0)","1","7","matSum(float*, float*, float*, int) [189]"
2048,1.344175,3.431912e-03,,,,,,,,,,16.000000,4.552856,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy DtoH]"
2304,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2304,s,s,,,,,,,,B,B,MB,GB/s,,,,
2304,1.431038,2.271831e-03,,,,,,,,,,20.250000,8.704605,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2304,1.433431,2.181078e-03,,,,,,,,,,20.250000,9.066797,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy HtoD]"
2304,1.435618,1.152748e-03,72,72,1,32,32,1,10,0,0,,,"GeForce GTX TITAN X (0)","1","7","matSum(float*, float*, float*, int) [189]"
2304,1.436773,4.696786e-03,,,,,,,,,,20.250000,4.210409,"GeForce GTX TITAN X (0)","1","7","[CUDA memcpy DtoH]"
2560,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
2560,s,s,,,,,,,,B,B,MB,GB/s,,,,
