256,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
256,ns,ns,,,,,,,,B,B,KB,GB/s,,,,
256,222309747.000000,28322.000000,,,,,,,,,,256.000000,8.620176,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
256,222387897.000000,27234.000000,,,,,,,,,,256.000000,8.964553,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
256,222421212.000000,5440.000000,16,16,1,16,16,1,10,0,0,,,"Tesla K40c (0)","1","7","matSum(float*, float*, float*, int) [109]"
256,222428284.000000,27075.000000,,,,,,,,,,256.000000,9.017198,"Tesla K40c (0)","1","7","[CUDA memcpy DtoH]"
512,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
512,ns,ns,,,,,,,,B,B,MB,GB/s,,,,
512,219789311.000000,102633.000000,,,,,,,,,,1.000000,9.515093,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
512,220096920.000000,101897.000000,,,,,,,,,,1.000000,9.583820,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
512,220210178.000000,19425.000000,32,32,1,16,16,1,10,0,0,,,"Tesla K40c (0)","1","7","matSum(float*, float*, float*, int) [109]"
512,220234212.000000,101160.000000,,,,,,,,,,1.000000,9.653643,"Tesla K40c (0)","1","7","[CUDA memcpy DtoH]"
768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
768,ns,ns,,,,,,,,B,B,MB,GB/s,,,,
768,228472720.000000,336444.000000,,,,,,,,,,2.250000,6.530851,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
768,229004540.000000,332891.000000,,,,,,,,,,2.250000,6.600556,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
768,229344248.000000,44387.000000,48,48,1,16,16,1,10,0,0,,,"Tesla K40c (0)","1","7","matSum(float*, float*, float*, int) [109]"
768,229395804.000000,530603.000000,,,,,,,,,,2.250000,4.141073,"Tesla K40c (0)","1","7","[CUDA memcpy DtoH]"
1024,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1024,ns,ns,,,,,,,,B,B,MB,GB/s,,,,
1024,236171897.000000,675766.000000,,,,,,,,,,4.000000,5.780477,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
1024,237152296.000000,863142.000000,,,,,,,,,,4.000000,4.525617,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
1024,238063122.000000,72902.000000,64,64,1,16,16,1,10,0,0,,,"Tesla K40c (0)","1","7","matSum(float*, float*, float*, int) [109]"
1024,238140728.000000,1039349.000000,,,,,,,,,,4.000000,3.758362,"Tesla K40c (0)","1","7","[CUDA memcpy DtoH]"
1280,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
1280,ns,ns,,,,,,,,B,B,MB,GB/s,,,,
1280,243318319.000000,1163966.000000,,,,,,,,,,6.250000,5.243723,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
